Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-06,612.6900,2022-01-05,567.5200,22 days,-7.37%,-7.3724%,Rise by -11.69%,-7.3724%
Buy,2022-01-11,540.8400,2022-01-21,397.5000,8 days,-26.50%,-26.5032%,Rise by -33.49%,-33.8756%
Buy,2022-01-27,386.7000,2022-01-31,427.1400,2 days,10.46%,10.4577%,Rise by -11.62%,-23.4179%
Buy,2022-04-25,209.9100,2022-06-14,167.5400,36 days,-20.18%,-20.1848%,Rise by -17.54%,-43.6027%
Buy,2024-08-06,609.5700,2024-08-08,630.3500,2 days,3.41%,3.4090%,Rise by 14.6%,-40.1938%
Buy,2025-01-15,848.2600,2025-01-22,953.9900,5 days,12.46%,12.4643%,Rise by 24.8%,-27.7294%
Buy,2025-03-11,895.1000,2025-03-17,950.0200,4 days,6.14%,6.1356%,Rise by 11.42%,-21.5938%
Buy,2025-04-08,870.4000,2025-04-09,945.4700,1 days,8.62%,8.6248%,Rise by 32.87%,-12.9690%
Buy,2025-07-24,1180.7600,2025-08-11,1218.3101,12 days,3.18%,3.1802%,Rise by 5.45%,-9.7889%
Buy,2025-10-06,1163.3101,2025-10-07,1191.0601,1 days,2.39%,2.3854%,Rise by 6.71%,-7.4035%
Buy,2025-10-28,1102.5,2025-10-28,1102.5,0 days,0.00%,0.00%,Rise by 0%,-7.40%
