Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2019-12-10 - 2019-12-18,6 days,2019-12-23,28.5,2020-02-18,31.4,41 days,10.2%,Rise by 4.28%,10.2%
Sell,2019-12-26 - 2019-12-31,3 days,2020-01-10,27.77,2020-01-21,28.86,7 days,-3.9%,Fall by 13.18%,6.3%
Sell,2020-02-21 - 2020-02-24,1 days,2020-02-27,30.96,2020-03-02,29.32,2 days,5.3%,Fall by 20.87%,11.5%
Buy,2020-03-11 - 2020-03-12,1 days,2020-03-17,26.72,2020-03-19,23.74,2 days,-11.2%,Rise by 74.78%,0.4%
Sell,2020-05-05 - 2020-05-07,2 days,2020-05-22,44.8,2020-05-28,43.2,4 days,3.6%,Fall by 10.02%,4.0%
Sell,2020-07-21 - 2020-07-22,1 days,2020-07-29,54.85,2020-07-31,54.33,2 days,0.9%,Fall by 13.89%,4.9%
Sell,2020-07-27 - 2020-08-05,7 days,2020-08-10,52.75,2020-08-12,49.35,2 days,6.4%,Fall by 10.46%,11.4%
Buy,2020-08-25 - 2020-09-08,10 days,2020-09-22,49.99,2020-10-28,44.34,26 days,-11.3%,Rise by 2.08%,0.1%
Sell,2020-09-02 - 2020-09-10,6 days,2020-09-17,52.58,2020-09-22,49.99,3 days,4.9%,Fall by 15.67%,5.0%
Buy,2020-09-23 - 2020-09-24,1 days,2020-09-28,48.29,2020-10-09,51.03,9 days,5.7%,Rise by 4.22%,10.7%
Sell,2020-10-13 - 2020-10-14,1 days,2020-10-20,48.81,2020-10-23,48.57,3 days,0.5%,Fall by 14.05%,11.1%
Buy,2020-10-30 - 2020-11-11,8 days,2020-11-13,45.45,2020-11-19,40.84,4 days,-10.1%,Rise by -10.65%,1.0%
Sell,2021-01-06 - 2021-01-07,1 days,2021-01-12,42.62,2021-01-20,41.31,6 days,3.1%,Fall by 10.77%,4.1%
Buy,2021-01-15 - 2021-01-27,8 days,2021-01-29,41.07,2021-02-26,35.74,20 days,-13.0%,Rise by -12.98%,-8.9%
Buy,2021-02-19 - 2021-03-01,6 days,2021-03-04,35.64,2021-03-11,38.16,5 days,7.1%,Rise by 21.8%,-1.8%
Sell,2021-05-18 - 2021-05-19,1 days,2021-05-24,47.37,2021-06-02,48.69,7 days,-2.8%,Fall by 7.85%,-4.6%
Sell,2021-08-03 - 2021-08-04,1 days,2021-08-09,42.65,2021-08-13,44.46,4 days,-4.2%,Fall by 10.46%,-8.9%
Buy,2021-09-27 - 2021-10-01,4 days,2021-10-06,37.72,2021-10-13,39.81,5 days,5.5%,Rise by 10.34%,-3.3%
Sell,2021-11-15 - 2021-11-16,1 days,2021-11-19,44.19,2021-11-24,42.69,3 days,3.4%,Fall by 11.38%,0.1%
Buy,2021-12-02 - 2021-12-03,1 days,2021-12-16,40.84,2021-12-31,42.93,11 days,5.1%,Rise by 20.3%,5.2%
Sell,2021-12-27 - 2021-12-28,1 days,2022-01-06,38.64,2022-01-11,39.79,3 days,-3.0%,Fall by -0.96%,2.2%
Buy,2022-01-07 - 2022-01-10,1 days,2022-01-25,40.42,2022-02-16,42.82,16 days,5.9%,Rise by 21.55%,8.2%
Sell,2022-03-07 - 2022-03-08,1 days,2022-03-14,46.78,2022-03-21,48.53,5 days,-3.7%,Fall by 10.99%,4.4%
Sell,2022-04-18 - 2022-04-20,2 days,2022-04-25,46.59,2022-04-26,45.38,1 days,2.6%,Fall by 10.88%,7.0%
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-19,41.44,2022-06-23,37.17,25 days,-10.3%,Rise by -10.3%,-3.3%
Buy,2022-06-15 - 2022-06-23,6 days,2022-06-27,38.76,2022-07-06,34.88,7 days,-10.0%,Rise by -12.15%,-13.3%
