Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2016-11-20,18.4,2017-03-05,15.46,Buy,74 Days,20.08,Rise by -10.98%,-15.98%,-15.98%,
2017-03-12,15.25,2017-04-16,14.65,Sell,24 Days,-16.5,Fall by 3.93%,3.93%,-12.04%,
2018-04-15,11.95,2018-05-06,13.07,Sell,14 Days,-16.67,Fall by -59.67%,-9.37%,-21.42%,
2021-01-24,27.53,2021-06-13,33.21,Buy,99 Days,8.07,Rise by 13.11%,20.63%,-0.78%,
2021-10-03,40.81,2021-10-17,48.23,Sell,9 Days,-12.57,Fall by -6.47%,-18.18%,-18.97%,
2023-06-11,34.88,2023-07-16,26.37,Buy,24 Days,20.25,Rise by -24.4%,-24.4%,-43.36%,
2025-01-19,67.86,2025-03-09,58.2,Sell,34 Days,-15.14,Fall by 14.24%,14.24%,-29.13%,
2025-07-06,74.02,2025-09-21,89.8,Buy,54 Days,11.9,Rise by 21.32%,21.32%,-7.81%,
