Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2019-09-08,31.8600,2020-01-19,35.1300,94 days,10.26%,10.2637%,Rise by -15.22%,10.2637%
Buy,2021-08-29,40.6900,2021-09-26,46.6300,19 days,14.60%,14.5982%,Rise by 18.85%,24.8618%
Buy,2022-06-05,24.1500,2022-08-07,32.0100,44 days,32.55%,32.5466%,Rise by 34.45%,57.4084%
Buy,2024-12-29,61.1300,2025-01-19,67.3400,14 days,10.16%,10.1587%,Rise by 29.92%,67.5671%
