Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BDGI.TO,71.732 (Historic Rise or Fall to Pivot)/65.0 (Exit Rule),2025-10-10 (Price: 65.01),2023-09-30 (Price: 34.69),8/75.0%,No Next Target,"87.4%, 529 days",77.48%/61.52%/67.96%,No Next Target,Quarterly,ALTITUDE ALPHA,81.25%/16/834 days (Across ALL Assets),62.93%/116/457 days (Across ALL Assets)
