Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1987-03-31,0.14,1988-06-30,0.24,327 days,1987-02-28/0.1188,79.53%,79.53%,Rise by 47.72%,79.53%
Buy,1988-09-30,0.25,1988-10-31,0.19,21 days,1988-06-30/0.2438,-21.77%,-21.77%,Rise by 138.47%,57.76%
Buy,1989-01-31,0.29,1989-09-30,0.58,173 days,1988-09-30/0.2485,99.97%,99.97%,Rise by 103.15%,157.72%
Buy,1989-11-30,0.59,1990-03-31,0.47,86 days,1989-09-30/0.5833,-21.36%,-21.36%,Rise by -33.85%,136.36%
Buy,1991-09-30,0.33,1992-10-31,0.55,284 days,1991-08-31/0.2778,66.38%,66.38%,Rise by 49.55%,202.74%
Buy,1992-12-31,0.7,1993-06-30,1.22,129 days,1989-11-30/0.5926,73.57%,73.57%,Rise by 132.6%,276.31%
Buy,1993-07-31,1.24,1994-08-31,2.11,282 days,1993-06-30/1.216,69.48%,69.48%,Rise by 31.02%,345.79%
Buy,1994-09-30,2.12,1996-01-31,3.54,348 days,1994-08-31/2.108,66.56%,66.56%,Rise by 9.45%,412.36%
Buy,1996-02-29,3.85,1997-08-31,6.35,391 days,1996-01-31/3.537,64.96%,64.96%,Rise by 41.34%,477.32%
Buy,1998-11-30,5.71,1999-01-31,9.23,44 days,1997-11-30/5.5521,61.68%,61.68%,Rise by 696.54%,539.00%
Buy,1999-02-28,9.31,1999-03-31,6.59,22 days,1999-01-31/9.2292,-29.19%,-29.19%,Rise by 388.26%,509.80%
Buy,1999-07-31,9.52,1999-11-30,16.95,86 days,1999-02-28/9.3125,78.16%,78.16%,Rise by 377.83%,587.97%
Buy,1999-12-31,28.02,2000-08-31,45.47,174 days,1999-11-30/16.9531,62.30%,62.30%,Rise by 62.3%,650.26%
Buy,2003-05-31,13.01,2004-08-31,9.97,326 days,2002-11-30/12.15,-23.37%,-23.37%,Rise by 6.53%,626.90%
Buy,2006-03-31,13.69,2007-10-31,22.17,413 days,2005-07-31/13.57,61.94%,61.94%,Rise by 39.15%,688.84%
Buy,2007-12-31,22.58,2008-11-30,16.09,239 days,2007-10-31/22.17,-28.74%,-28.74%,Rise by 1.15%,660.10%
Buy,2009-07-31,22.13,2011-04-30,35.96,455 days,2008-08-31/21.93,62.49%,62.49%,Rise by 16.9%,722.59%
Buy,2012-11-30,32.18,2018-01-31,51.59,1348 days,2012-08-31/31.65,60.32%,60.32%,Rise by 30.58%,782.91%
Buy,2019-02-28,52.13,2021-07-31,87.14,631 days,2018-01-31/51.59,67.16%,67.16%,Rise by 14.52%,850.07%
Buy,2021-08-31,89.13,2022-06-30,69.87,217 days,2021-07-31/87.14,-21.61%,-21.61%,Rise by -14.76%,828.46%
Buy,2023-01-31,88.46,2024-09-30,170.4,434 days,2022-11-30/83.03,92.63%,92.63%,Rise by 36.1%,921.09%
Buy,2024-11-30,184.84,2025-03-31,139.81,85 days,2024-09-30/170.4,-24.36%,-24.36%,Rise by -23.87%,896.73%
Buy,2025-06-30,218.63,2025-06-30,218.63,0 days,2024-11-30/184.84,0.00%,0.00%,Rise by 0%,896.73%
