Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1988-06-30,0.24,1989-09-30,0.58,326 days,1988-03-31/0.2006,139.25%,139.25%,Rise by 139.25%,139.25%,
Buy,1992-09-30,0.49,1993-03-31,0.91,130 days,1992-06-30/0.3765,83.76%,83.76%,Rise by 341.27%,223.01%,
Buy,1993-06-30,1.22,1994-09-30,2.12,327 days,1993-03-31/0.9074,74.63%,74.63%,Rise by 133.77%,297.64%,
Buy,1994-12-31,2.18,1996-03-31,3.49,324 days,1994-09-30/2.1235,60.20%,60.20%,Rise by 96.64%,357.84%,
Buy,1996-06-30,4.38,1998-12-31,7.19,653 days,1996-03-31/3.4907,64.03%,64.03%,Rise by 38.59%,421.87%,
Buy,1999-06-30,9.28,1999-12-31,28.02,132 days,1998-12-31/7.1875,201.85%,201.85%,Rise by 352.86%,623.72%,
Buy,2000-03-31,39.03,2000-12-31,29.06,195 days,1999-12-31/28.0156,-25.54%,-25.54%,Rise by -25.54%,598.18%,
Buy,2004-12-31,13.72,2007-12-31,22.58,781 days,2003-12-31/13.23,64.58%,64.58%,Rise by -11.01%,662.76%,
Buy,2009-12-31,24.53,2014-03-31,40.91,1107 days,2007-12-31/22.58,66.78%,66.78%,Rise by 36.28%,729.53%,
Buy,2014-12-31,44.97,2021-06-30,77.84,1695 days,2000-06-30/42.0312,73.09%,73.09%,Rise by -19.68%,802.63%,
Buy,2021-09-30,87.13,2022-09-30,61.07,261 days,2021-06-30/77.84,-29.91%,-29.91%,Rise by -19.81%,772.72%,
Buy,2023-03-31,92.92,2024-09-30,170.4,391 days,2021-12-31/87.21,83.38%,83.38%,Rise by 83.38%,856.10%,
Buy,2025-06-30,218.63,2025-06-30,218.63,0 days,2024-09-30/170.4,0.00%,0.00%,Rise by 0%,856.10%,
