Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2012-12-09,38.41,2016-01-17,29.8,809 days,2012-11-04/37.46,-22.42%,-22.42%,Rise by 8.88%,-22.42%
Buy,2017-02-26,38.54,2022-03-13,29.07,1314 days,2016-10-09/38.49,-24.57%,-24.57%,Rise by 5.14%,-46.99%
Buy,2024-05-05,27.33,2024-05-05,27.33,0 days,2023-10-15/26.48,0.00%,0.00%,Rise by 0%,-46.99%
