Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-11-01,88.0,2022-08-03,78.68,Buy,197 Days,-3.24,Rise by 6.25%,-10.59%,-10.59%,
2022-02-01,84.85,2023-02-13,75.0,Buy,269 Days,-4.62,Rise by -10.43%,-11.61%,-22.2%,
2022-03-11,76.0,2022-08-03,78.68,Buy,103 Days,-3.5,Rise by 6.58%,3.53%,-18.67%,
2022-07-05,69.69,2022-11-02,74.0,Buy,86 Days,-3.2,Rise by 3.29%,6.18%,-12.49%,
2022-10-06,67.4,2023-01-25,72.02,Buy,79 Days,-5.05,Rise by 12.82%,6.85%,-5.63%,
2023-08-01,67.85,2023-11-21,65.19,Buy,80 Days,-4.94,Rise by -1.25%,-3.92%,-9.55%,
2023-09-05,65.88,2023-11-21,65.19,Buy,55 Days,-3.6,Rise by -0.14%,-1.05%,-10.6%,
2023-10-02,63.05,2023-11-21,65.19,Buy,36 Days,-3.0,Rise by 2.14%,3.39%,-7.21%,
2023-11-01,58.35,2024-06-07,69.47,Buy,157 Days,-7.08,Rise by 8.23%,19.06%,11.85%,
2024-03-01,68.0,2024-06-07,69.47,Buy,70 Days,-3.31,Rise by 0.72%,2.16%,14.01%,
2024-09-04,72.4,2024-10-15,73.0,Buy,29 Days,-3.16,Rise by -0.41%,0.83%,14.84%,
2024-10-01,70.5,2025-06-06,70.45,Buy,178 Days,-6.71,Rise by 4.27%,-0.07%,14.77%,
2025-04-01,62.7,2025-04-01,62.7,Buy,0 Days,-8.32,Rise by 0%,0.0%,14.77%,
2025-04-22,55.0,2025-04-22,55.0,Buy,0 Days,-3.34,Rise by 0%,0.0%,14.77%,
2025-08-01,59.5,2025-08-01,59.5,Buy,0 Days,-7.25,Rise by 0%,0.0%,14.77%,
