Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2016-06-30,51.88,2018-06-30,88.5,521 days,2015-12-31/46.92,70.59%,70.59%,Rise by 55.63%,70.59%
Buy,2018-09-30,97.13,2018-12-31,65.9,65 days,2018-06-30/88.5,-32.15%,-32.15%,Rise by -15.92%,38.43%
Buy,2019-12-31,100.02,2020-06-30,194.06,130 days,2018-09-30/97.13,94.02%,94.02%,Rise by 95.97%,132.45%
Buy,2020-09-30,196.01,2021-03-31,146.66,130 days,2020-06-30/194.06,-25.18%,-25.18%,Rise by -16.81%,107.28%
Buy,2023-03-31,185.56,2023-03-31,185.56,0 days,2021-09-30/182.74,0.00%,0.00%,Rise by 0%,107.28%
