Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-08,210.12,2022-01-05,165.18,42 days,2021-09-01/205.63,-21.39%,-21.39%,Rise by -10.62%,-21.39%
Buy,2023-02-02,159.0,2023-02-02,159.0,0 days,2022-11-15/158.63,0.00%,0.00%,Rise by 0%,-21.39%
