Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2003-12-14,1.7473,2008-11-16,1.4753,Buy,1284 Days,34.21,Rise by 7.9%,-15.57%,-15.57%,
2004-03-28,1.8177,2004-05-16,1.7586,Sell,34 Days,-11.11,Fall by 3.25%,3.25%,-12.32%,
2004-05-16,1.7586,2004-07-18,1.8728,Sell,44 Days,-10.53,Fall by -3.61%,-6.49%,-18.81%,
2005-03-27,1.8717,2005-06-05,1.8152,Sell,49 Days,-18.71,Fall by 3.15%,3.02%,-15.79%,
2005-05-29,1.8248,2008-11-16,1.4753,Buy,904 Days,20.72,Rise by -0.53%,-19.15%,-34.94%,
2005-08-21,1.7951,2005-11-13,1.7408,Sell,59 Days,-11.11,Fall by 1.91%,3.02%,-31.92%,
2006-01-08,1.7708,2006-05-14,1.8951,Sell,89 Days,-10.87,Fall by 1.59%,-7.02%,-38.94%,
2006-04-23,1.7827,2006-05-14,1.8951,Sell,14 Days,-7.1,Fall by -2.12%,-6.31%,-45.24%,
2008-03-30,1.9949,2008-10-26,1.5915,Buy,149 Days,8.0,Rise by -0.04%,-20.22%,-65.46%,
2009-03-22,1.4427,2016-10-16,1.2222,Buy,1974 Days,6.79,Rise by 14.57%,-15.28%,-80.75%,
2011-03-20,1.6143,2011-09-25,1.5362,Sell,134 Days,-11.63,Fall by -0.55%,4.84%,-75.91%,
2012-04-15,1.5959,2012-06-03,1.5396,Sell,34 Days,-13.42,Fall by 3.53%,3.53%,-72.38%,
2013-05-12,1.5446,2016-07-10,1.2916,Buy,824 Days,13.36,Rise by 1.74%,-16.38%,-88.76%,
2013-08-25,1.5597,2014-01-26,1.6635,Sell,109 Days,-13.9,Fall by -4.65%,-6.66%,-95.42%,
2015-08-02,1.5604,2015-11-29,1.51,Sell,84 Days,-19.6,Fall by 2.19%,3.23%,-92.19%,
2016-01-17,1.4427,2016-02-28,1.3966,Sell,29 Days,-27.63,Fall by 3.2%,3.2%,-88.99%,
2016-11-20,1.241,2016-11-20,1.241,Buy,0 Days,20.08,Rise by 0%,0.0%,-88.99%,
2018-04-15,1.4238,2018-05-06,1.3572,Sell,14 Days,-16.67,Fall by 8.17%,4.68%,-84.31%,
2021-01-24,1.3729,2022-09-04,1.1549,Buy,419 Days,8.07,Rise by 2.03%,-15.88%,-100.19%,
2021-10-03,1.347,2022-04-24,1.3026,Sell,144 Days,-12.57,Fall by 1.83%,3.3%,-96.9%,
2023-06-11,1.256,2023-06-11,1.256,Buy,0 Days,20.25,Rise by 0%,0.0%,-96.9%,
2025-01-19,1.2237,2025-04-06,1.3089,Sell,54 Days,-15.14,Fall by -9.93%,-6.96%,-103.86%,
2025-07-06,1.3668,2025-07-06,1.3668,Buy,0 Days,11.9,Rise by 0%,0.0%,-103.86%,
