Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-08-21,10.94,2016-05-01,23.59,1224 days,115.630000%,115.630000%,Rise by 19.930000%,115.630000%
Buy,2020-03-29,46.91,2023-08-06,96.16,874 days,104.990000%,104.990000%,Rise by 71.480000%,220.620000%
Buy,2025-03-16,174.09,2025-03-16,174.09,0 days,0.00%,0.00%,Rise by 0%,220.620000%
