Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-08-14,64.87,2020-08-21,69.55,Sell,4 days,Fall by 0.200000%,-7.21
2020-10-01,68.52,2020-10-12,73.08,Buy,6 days,Rise by 17.970000%,6.65
2020-12-01,74.6,2020-12-24,69.75,Sell,16 days,Fall by 9.810000%,6.5
2021-01-07,72.85,2021-01-08,76.94,Sell,0 days,Fall by -5.440000%,-5.61
2021-04-20,78.6,2021-05-13,73.88,Sell,16 days,Fall by 6.010000%,6.01
2021-04-30,79.66,2021-05-10,74.9,Sell,5 days,Fall by 6.900000%,5.98
2021-05-21,74.6,2021-05-25,78.25,Sell,1 days,Fall by 0.590000%,-4.89
2021-10-08,63.19,2021-10-22,64.59,Buy,9 days,Rise by 2.260000%,2.22
2021-12-22,56.96,2022-01-13,59.54,Buy,15 days,Rise by 9.830000%,4.53
2021-12-29,56.82,2021-12-30,59.2,Sell,0 days,Fall by 11.320000%,-4.19
2022-01-10,58.14,2022-01-14,60.67,Buy,3 days,Rise by 8.310000%,4.35
2022-01-12,62.56,2022-12-19,40.56,Buy,242 days,Rise by 0.660000%,-35.17
2022-02-01,62.75,2022-12-19,40.56,Buy,228 days,Rise by -10.220000%,-35.36
2022-10-25,25.82,2022-10-26,27.86,Sell,0 days,Fall by -85.360000%,-7.9
2022-11-29,36.35,2022-12-05,38.92,Buy,3 days,Rise by 14.860000%,7.07
2023-03-23,47.88,2023-03-31,48.89,Buy,5 days,Rise by -11.510000%,2.11
2023-04-12,44.84,2023-04-13,46.76,Sell,0 days,Fall by 7.960000%,-4.28
2023-04-24,43.38,2023-04-27,44.28,Sell,2 days,Fall by 4.860000%,-2.07
2023-05-16,43.88,2023-07-17,44.47,Buy,43 days,Rise by 4.400000%,1.34
2023-11-14,40.68,2023-11-20,42.19,Buy,3 days,Rise by -0.570000%,3.71
2024-03-13,37.04,2024-04-01,39.43,Buy,12 days,Rise by 39.500000%,6.45
2024-03-28,39.03,2024-04-04,39.4,Buy,4 days,Rise by 32.390000%,0.95
2024-06-27,47.55,2024-07-11,49.5,Sell,9 days,Fall by 5.220000%,-4.1
2024-12-16,51.8,2024-12-20,54.68,Sell,3 days,Fall by 9.580000%,-5.56
2024-12-30,53.23,2025-01-13,46.95,Sell,9 days,Fall by -14.750000%,11.8
2025-01-07,48.11,2025-01-15,48.85,Sell,5 days,Fall by -26.960000%,-1.54
2025-01-28,52.6,2025-02-07,54.96,Buy,7 days,Rise by 26.830000%,4.49
2025-02-10,56.5,2025-02-19,63.27,Buy,6 days,Rise by 23.520000%,11.98
2025-06-16,64.88,2025-07-03,63.57,Sell,12 days,Fall by 2.710000%,2.02
2025-07-16,66.26,2025-07-25,70.18,Buy,6 days,Rise by 18.170000%,5.92
2025-08-05,71.51,2025-08-18,75.02,Buy,8 days,Rise by 9.500000%,4.91
2025-10-13,81.63,2025-10-17,80.21,Sell,3 days,Fall by 0.270000%,1.74
