Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-02-05,4.84,2012-03-18,5.57,Buy,29 days,Rise by 27.750000%,15.18
2012-10-07,6.77,2013-02-17,7.11,Buy,94 days,Rise by 8.800000%,4.96
2013-07-28,8.91,2013-08-25,9.22,Buy,19 days,Rise by 24.990000%,3.53
2013-09-15,10.62,2013-12-15,11.95,Buy,64 days,Rise by 52.950000%,12.5
2014-05-11,12.34,2014-05-18,13.9,Sell,4 days,Fall by -18.460000%,-12.62
2014-10-12,14.66,2014-11-02,16.05,Sell,14 days,Fall by 1.910000%,-9.48
2015-04-12,21.05,2016-05-22,20.42,Buy,289 days,Rise by -11.590000%,-2.99
2016-01-17,17.09,2016-01-31,18.74,Sell,9 days,Fall by -15.920000%,-9.65
2016-06-12,22.34,2016-08-07,23.93,Buy,39 days,Rise by 25.600000%,7.12
2016-07-24,24.01,2016-09-04,26.25,Buy,29 days,Rise by 16.870000%,9.33
2016-12-11,24.45,2017-01-15,25.8,Sell,24 days,Fall by -41.760000%,-5.52
2019-01-20,43.48,2019-04-07,48.67,Buy,54 days,Rise by 15.850000%,11.94
2019-04-21,50.37,2020-03-15,46.24,Buy,234 days,Rise by -15.010000%,-8.2
2019-05-26,40.86,2019-06-23,45.43,Sell,19 days,Fall by 0.590000%,-11.18
2019-12-15,45.84,2020-01-12,51.43,Buy,19 days,Rise by 16.270000%,12.19
2020-01-12,51.43,2020-06-07,56.0,Buy,104 days,Rise by -10.090000%,8.89
2020-06-28,62.2,2020-07-26,68.82,Buy,19 days,Rise by 28.230000%,10.64
2020-07-05,66.69,2020-11-01,76.34,Buy,84 days,Rise by 19.600000%,14.47
2021-07-11,70.77,2021-08-15,60.23,Sell,24 days,Fall by 16.690000%,14.89
2021-10-17,63.99,2023-02-26,43.6,Buy,354 days,Rise by -11.300000%,-31.86
2022-01-09,57.15,2022-03-20,51.7,Sell,49 days,Fall by 11.830000%,9.54
2022-03-13,44.76,2022-03-20,51.7,Sell,4 days,Fall by 13.630000%,-15.5
2022-10-23,29.92,2022-11-06,30.89,Sell,9 days,Fall by -42.210000%,-3.24
2022-12-11,40.72,2023-01-29,52.55,Buy,34 days,Rise by 29.050000%,29.05
2023-04-23,44.1,2023-06-18,45.81,Sell,39 days,Fall by 12.310000%,-3.88
2024-03-10,34.51,2024-03-31,39.03,Sell,14 days,Fall by -32.020000%,-13.1
2024-09-22,49.47,2024-10-20,55.04,Buy,19 days,Rise by 10.530000%,11.26
2024-10-06,60.77,2025-03-16,68.05,Buy,114 days,Rise by -15.750000%,11.98
2025-01-12,46.84,2025-02-02,53.02,Sell,14 days,Fall by -22.540000%,-13.19
2025-02-09,54.96,2025-03-16,68.05,Buy,24 days,Rise by 20.120000%,23.82
2025-02-23,66.71,2025-08-24,77.88,Buy,129 days,Rise by -13.960000%,16.74
2025-07-27,70.18,2025-09-07,77.67,Buy,29 days,Rise by 16.000000%,10.67
2025-10-05,86.51,2025-10-05,86.51,Buy,0 days,Rise by -5.900000%,0.0
