Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,85.37,2022-08-03,78.23,Buy,175 Days,-3.68,Rise by 2.2%,-8.36%,-8.36%
2022-02-01,84.73,2022-08-03,78.23,Buy,131 Days,-3.27,Rise by -1.25%,-7.67%,-16.04%
2022-03-04,82.54,2022-08-16,78.43,Buy,117 Days,-4.33,Rise by -0.01%,-4.98%,-21.01%
2022-05-02,78.23,2023-01-23,76.16,Buy,190 Days,-9.12,Rise by 2.51%,-2.65%,-23.66%
2022-05-12,76.72,2022-08-03,78.23,Buy,59 Days,-3.21,Rise by 4.52%,1.97%,-21.69%
2022-07-01,73.98,2022-11-29,74.54,Buy,107 Days,-4.62,Rise by 4.07%,0.76%,-20.94%
2022-07-14,74.55,2022-11-02,72.92,Buy,79 Days,-3.29,Rise by 3.27%,-2.19%,-23.12%
2022-09-01,74.36,2022-11-18,74.23,Buy,56 Days,-5.98,Rise by 2.26%,-0.17%,-23.3%
2022-09-26,71.28,2022-11-18,74.23,Buy,39 Days,-3.29,Rise by 3.14%,4.14%,-19.16%
2023-03-01,73.87,2023-07-18,75.45,Buy,99 Days,-5.75,Rise by -0.08%,2.14%,-17.02%
2023-10-03,72.15,2023-12-04,75.8,Buy,44 Days,-3.96,Rise by 0.61%,5.06%,-11.96%
2024-11-01,78.75,2025-02-05,79.72,Buy,68 Days,-3.37,Rise by 1.33%,1.23%,-10.73%
2025-04-03,77.87,2025-06-04,79.48,Buy,44 Days,-3.59,Rise by -0.13%,2.07%,-8.66%
