Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,34639.7891,2021-12-06,35227.0312,2 days,1.70%,1.6953%,Rise by 6.24%,1.6953%
Buy,2022-01-24,34364.5000,2022-01-31,35131.8594,5 days,2.23%,2.2330%,Rise by 4.08%,3.9283%
Buy,2022-05-13,32196.6602,2022-05-27,33212.9609,10 days,3.16%,3.1565%,Rise by 3.27%,7.0848%
Buy,2022-06-15,30668.5293,2022-06-24,31500.6797,7 days,2.71%,2.7134%,Rise by 7.1%,9.7982%
Buy,2022-09-01,31656.4199,2022-09-12,32381.3398,7 days,2.29%,2.2900%,Rise by 9.27%,12.0882%
Buy,2022-09-28,29683.7402,2022-10-18,30523.8008,14 days,2.83%,2.8300%,Rise by 16.53%,14.9182%
Buy,2023-02-27,32889.0898,2023-03-03,33390.9688,4 days,1.53%,1.5260%,Rise by 3.47%,16.4442%
Buy,2023-03-14,32155.4004,2023-03-29,32717.5996,11 days,1.75%,1.7484%,Rise by 5.83%,18.1925%
Buy,2023-10-04,33129.5508,2023-10-09,33604.6484,3 days,1.43%,1.4341%,Rise by 13.84%,19.6266%
Buy,2024-04-11,38459.0781,2024-05-08,39056.3906,19 days,1.55%,1.5531%,Rise by 4.02%,21.1797%
Buy,2024-12-20,42840.2617,2025-01-21,44025.8086,22 days,2.77%,2.7674%,Rise by 4.77%,23.9471%
Buy,2025-03-07,42801.7188,2025-03-13,40813.5703,4 days,-4.65%,-4.6450%,Rise by -0.5%,19.3021%
Buy,2025-03-14,41488.1914,2025-03-24,42583.3203,6 days,2.64%,2.6396%,Rise by 3.14%,21.9417%
