Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-09-05,43.35,2021-10-31,34.97,Buy,39 Days,10.1,Rise by -19.33%,-19.33%,-19.33%
2021-10-03,41.9,2021-10-24,39.59,Sell,14 Days,-12.57,Fall by 11.67%,5.51%,-13.82%
2023-06-11,9.41,2023-07-16,12.38,Buy,24 Days,20.25,Rise by 35.6%,31.56%,17.74%
2025-01-19,48.15,2025-01-26,51.12,Sell,4 Days,-15.14,Fall by 18.5%,-6.17%,11.58%
2025-07-06,94.4,2025-08-10,114.63,Buy,24 Days,11.9,Rise by 21.43%,21.43%,33.01%
