Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-09-01,48.37,2021-11-15,51.66,Buy,53 Days,-3.31,Rise by 7.17%,6.8%,6.8%
2021-12-02,41.15,2022-01-10,44.13,Buy,27 Days,-3.32,Rise by 7.36%,7.24%,14.04%
2022-05-02,31.5,2022-08-11,18.9,Buy,73 Days,-3.9,Rise by -40.92%,-40.0%,-25.96%
2022-06-06,17.16,2022-08-11,18.9,Buy,48 Days,-4.32,Rise by -16.72%,10.14%,-15.82%
2022-07-01,13.48,2023-02-13,10.46,Buy,161 Days,-6.94,Rise by -10.31%,-22.4%,-38.22%
2023-04-03,9.07,2023-05-08,8.54,Buy,25 Days,-3.06,Rise by 14.11%,-5.84%,-44.06%
2025-01-02,13.65,2025-02-14,13.43,Buy,31 Days,-3.77,Rise by 0.15%,-1.61%,-45.68%
2025-04-01,12.23,2025-05-19,16.76,Buy,34 Days,-3.34,Rise by -18.48%,37.04%,-8.64%
