Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2023-08-18,20.59,2024-06-14,24.21,2023-04-25-2023-08-08,17.0-21.9,Buy,215 days,17.58%,Rise by 9.71%,187.67%,
2023-08-23,20.58,2024-10-21,29.43,2021-09-28-2023-08-08,12.52-21.9,Buy,303 days,43.0%,Rise by 2.62%,230.67%,
2023-09-18,19.87,2024-01-19,22.35,2022-05-09-2023-08-08,10.99-21.9,Buy,89 days,12.48%,Rise by 3.85%,243.15%,
2023-09-21,19.7,2023-12-14,22.02,2021-11-11-2023-05-16,11.99-21.15,Buy,60 days,11.78%,Rise by 5.09%,254.93%,
2023-09-26,19.37,2023-10-02,19.21,2021-05-12-2023-08-08,13.19-21.9,Sell,4 days,0.83%,Fall by 2.6%,255.75%,
2023-09-27,19.15,2023-10-25,18.87,2021-11-11-2023-08-08,11.99-21.9,Sell,20 days,1.46%,Fall by -11.55%,257.22%,
2023-10-02,19.21,2024-01-19,22.35,2022-05-09-2023-05-16,10.99-21.15,Buy,79 days,16.35%,Rise by 3.85%,273.56%,
2023-10-03,19.2,2023-11-20,21.21,2021-01-29-2023-08-08,11.72-21.9,Sell,34 days,-10.47%,Fall by 0.75%,263.09%,
2023-10-19,18.86,2023-11-15,20.75,2022-05-09-2023-08-08,10.99-21.9,Sell,19 days,-10.02%,Fall by -1.45%,253.07%,
2023-10-20,18.71,2023-11-14,20.69,2021-09-28-2023-05-16,12.52-21.15,Sell,17 days,-10.58%,Fall by -1.74%,242.49%,
2023-12-18,21.87,2023-12-18,21.87,2023-05-16-2023-10-23,19.08-20.47,Sell,0 days,-0.0%,Fall by 0%,242.49%,
2024-03-01,22.88,2024-03-04,22.54,2024-01-24-2024-02-13,21.92-22.96,Sell,1 days,1.49%,Fall by 5.9%,243.97%,
2024-03-04,22.54,2024-06-14,24.21,2023-10-23-2024-02-23,18.5-23.46,Buy,74 days,7.41%,Rise by 9.71%,251.38%,
2024-03-28,21.89,2024-06-14,24.21,2021-05-12-2024-02-23,13.19-23.46,Buy,56 days,10.6%,Rise by 9.71%,261.98%,
2024-04-16,21.3,2024-04-16,21.3,2024-01-24-2024-03-26,22.25-22.96,Sell,0 days,-0.0%,Fall by 0%,261.98%,
2024-04-18,21.52,2024-04-18,21.52,2021-11-11-2024-02-23,11.99-23.46,Buy,0 days,0.0%,Rise by 0%,261.98%,
2024-05-29,23.63,2024-07-16,26.49,2024-02-23-2024-04-25,21.54-22.88,Sell,34 days,-12.1%,Fall by 5.32%,249.88%,
2024-10-28,28.98,2024-12-03,29.23,2024-04-25-2024-10-16,21.2-30.04,Buy,26 days,0.86%,Rise by 0.14%,250.74%,
2024-11-14,27.07,2024-11-25,30.2,2023-10-23-2024-10-16,18.5-30.04,Sell,7 days,-11.56%,Fall by 6.42%,239.18%,
2024-11-18,28.31,2025-08-21,36.48,2023-04-25-2024-10-16,17.0-30.04,Buy,198 days,28.86%,Rise by 4.19%,268.04%,
2024-12-04,29.68,2024-12-05,29.7,2024-10-16-2024-11-14,29.94-29.45,Sell,1 days,-0.07%,Fall by 5.19%,267.97%,
2024-12-05,29.7,2024-12-12,28.97,2024-11-14-2024-11-27,26.51-30.49,Buy,5 days,-2.46%,Rise by 1.04%,265.51%,
2024-12-16,28.72,2025-04-08,26.96,2023-10-23-2024-10-16,18.5-30.04,Buy,81 days,-6.13%,Rise by 22.59%,259.38%,
2025-01-10,28.85,2025-01-15,28.56,2024-11-27-2024-12-12,29.71-29.78,Sell,3 days,1.01%,Fall by 1.96%,260.39%,
2025-02-05,28.06,2025-02-05,28.06,2022-05-09-2024-10-16,10.99-30.04,Buy,0 days,0.0%,Rise by 0%,260.39%,
2025-02-27,28.72,2025-03-03,28.31,2024-10-16-2025-02-03,28.66-29.45,Sell,2 days,1.43%,Fall by 4.77%,261.82%,
2025-03-18,27.73,2025-05-01,30.5,2021-09-28-2024-11-27,12.52-30.49,Buy,32 days,9.99%,Rise by 8.36%,271.81%,
2025-04-08,26.96,2025-04-09,29.15,2023-10-23-2024-11-27,18.5-30.49,Sell,1 days,-8.12%,Fall by -9.06%,263.68%,
2025-04-09,29.15,2025-08-01,35.99,2022-05-09-2024-11-27,10.99-30.49,Buy,82 days,23.46%,Rise by 5.61%,287.15%,
2025-04-10,28.11,2025-04-24,30.93,2024-11-27-2025-02-03,28.66-29.78,Sell,10 days,-10.03%,Fall by -2.78%,277.12%,
2025-08-21,36.48,2025-09-29,35.91,2025-02-20-2025-04-07,28.23-29.11,Sell,27 days,1.56%,Fall by -5.35%,278.68%,
2025-09-08,36.84,2025-09-25,36.02,2024-11-14-2025-08-14,26.51-37.69,Buy,13 days,-2.23%,Rise by 5.02%,276.45%,
2025-09-29,35.91,2025-09-29,35.91,2025-02-03-2025-09-19,25.0-38.15,Buy,0 days,0.0%,Rise by 0%,276.45%,
2025-10-02,36.62,2025-10-02,36.62,2025-02-03-2025-08-14,25.0-37.69,Buy,0 days,0.0%,Rise by 0%,276.45%,
