Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-25,434.4700,2022-01-28,441.9500,3 days,1.72%,1.7216%,Rise by 5.31%,1.7216%,
Buy,2022-02-24,428.3000,2022-03-17,441.0700,15 days,2.98%,2.9816%,Rise by 7.76%,4.7032%,
Buy,2022-05-13,401.7200,2022-06-02,417.3900,14 days,3.90%,3.9007%,Rise by 3.9%,8.6039%,
Buy,2022-06-15,379.2000,2022-07-19,392.2700,24 days,3.45%,3.4467%,Rise by 13.32%,12.0506%,
Buy,2022-09-27,363.3800,2022-10-04,377.9700,5 days,4.02%,4.0151%,Rise by 7.06%,16.0657%,
Buy,2023-08-21,439.3400,2023-08-29,449.1600,6 days,2.24%,2.2352%,Rise by -0.69%,18.3009%,
Buy,2023-09-25,432.2300,2023-10-26,412.5500,23 days,-4.55%,-4.5531%,Rise by 0.95%,13.7478%,
Buy,2023-10-30,415.5900,2023-11-01,422.6600,2 days,1.70%,1.7012%,Rise by 14.7%,15.4490%,
Buy,2024-04-18,499.5200,2024-04-23,505.6500,3 days,1.23%,1.2272%,Rise by 6.37%,16.6761%,
Buy,2025-03-05,583.0600,2025-03-13,551.4200,6 days,-5.43%,-5.4265%,Rise by -1.3%,11.2496%,
