Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2015-12-31,430.57,2016-10-31,700.97,217 days,2014-09-30/386.944,62.80%,62.80%,Rise by 56.38%,62.80%,
Buy,2016-11-30,745.69,2017-04-30,1347.89,107 days,2016-10-31/700.972,80.76%,80.76%,Rise by 1798.43%,143.56%,
Buy,2017-05-31,2286.41,2017-08-31,4703.39,66 days,2017-04-30/1347.89,105.71%,105.71%,Rise by 519.15%,249.27%,
Buy,2017-10-31,6468.4,2017-12-31,14156.4,43 days,2017-08-31/4703.3901,118.85%,118.85%,Rise by -37.89%,368.12%,
Buy,2019-05-31,8574.5,2020-03-31,6438.64,217 days,2018-07-31/7780.4399,-24.91%,-24.91%,Rise by -11.72%,343.22%,
Buy,2020-07-31,11323.47,2020-11-30,19625.84,86 days,2019-07-31/10085.6279,73.32%,73.32%,Rise by 420.33%,416.54%,
Buy,2020-12-31,29001.72,2021-03-31,58918.83,64 days,2020-11-30/19625.8359,103.16%,103.16%,Rise by 111.43%,519.69%,
Buy,2021-10-31,61318.96,2021-12-31,46306.45,44 days,2021-03-31/58918.832,-24.48%,-24.48%,Rise by -25.73%,495.21%,
Buy,2023-06-30,30477.25,2024-02-29,61198.38,174 days,2023-04-30/29268.8066,100.80%,100.80%,Rise by 134.06%,596.01%,
Buy,2024-03-31,71333.65,2025-07-31,115758.2,348 days,2021-10-31/61318.957,62.28%,62.28%,Rise by -17.33%,658.29%,
