Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2020-12-16,103.63,2021-04-08,109.85,80 days,6.000000%,6.000000%,Rise by 0.480000%,6.000000%
Buy,2021-08-04,108.99,2021-11-26,115.07,81 days,5.580000%,5.580000%,Rise by 1.200000%,11.580000%
Buy,2022-05-26,127.15,2022-07-04,135.04,26 days,6.210000%,6.210000%,Rise by 7.420000%,17.780000%
Buy,2022-08-01,133.41,2022-10-26,147.98,61 days,10.920000%,10.920000%,Rise by 8.240000%,28.710000%
Buy,2022-11-10,146.21,2023-07-07,143.95,170 days,-1.540000%,-1.540000%,Rise by -5.780000%,27.160000%
Buy,2023-07-14,138.07,2023-09-11,147.11,40 days,6.550000%,6.550000%,Rise by 8.530000%,33.710000%
Buy,2023-11-22,148.15,2024-01-31,147.37,49 days,-0.530000%,-0.530000%,Rise by 0.070000%,33.180000%
Buy,2024-03-11,146.77,2024-07-11,161.61,87 days,10.110000%,10.110000%,Rise by 7.800000%,43.290000%
Buy,2024-07-26,153.7,2025-07-24,146.35,258 days,-4.780000%,-4.780000%,Rise by -2.910000%,38.500000%
