Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-03-03,40.35,2021-06-21,47.48,Buy,78 Days,-7.22,Rise by 3.97%,17.67%,17.67%,
2022-02-03,47.11,2022-11-16,41.0,Buy,204 Days,-5.97,Rise by 1.1%,-12.97%,4.7%,
2022-05-02,45.5,2022-11-16,41.0,Buy,142 Days,-5.66,Rise by -10.86%,-9.89%,-5.19%,
2022-05-12,39.54,2022-11-16,41.0,Buy,134 Days,-5.29,Rise by 9.59%,3.69%,-1.5%,
2022-06-09,40.25,2022-11-16,41.0,Buy,114 Days,-4.25,Rise by 4.89%,1.86%,0.37%,
2023-03-08,34.99,2023-05-11,39.56,Buy,46 Days,-3.99,Rise by 9.03%,13.06%,13.43%,
2024-02-02,33.95,2024-05-23,31.79,Buy,79 Days,-3.37,Rise by -2.71%,-6.36%,7.07%,
2024-02-14,32.02,2024-05-23,31.79,Buy,71 Days,-3.02,Rise by 3.15%,-0.72%,6.35%,
2024-10-02,39.07,2025-01-15,36.5,Buy,75 Days,-4.42,Rise by 0.74%,-6.58%,-0.23%,
2025-04-04,37.65,2025-06-17,40.02,Buy,52 Days,-4.42,Rise by 9.77%,6.29%,6.06%,
2025-05-01,39.58,2025-09-10,41.85,Buy,94 Days,-11.63,Rise by 0.33%,5.74%,11.8%,
