Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-12-22,24.53,2022-05-11,19.41,100 days,2021-10-19/24.22,-20.87%,-20.87%,Rise by 6.81%,-20.87%,
Buy,2022-08-03,20.1,2023-04-13,15.4,181 days,2022-05-06/19.85,-23.38%,-23.38%,Rise by -10.0%,-44.26%,
Buy,2023-09-11,17.95,2023-09-11,17.95,0 days,2023-07-18/17.88,0.00%,0.00%,Rise by 0%,-44.26%,
