Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-20 - 2020-01-29,7 days,2020-02-13,74.97,2020-03-02,69.51,12 days,7.3%,Fall by 10.24%,7.3%
Sell,2020-02-07 - 2020-02-20,9 days,2020-02-25,73.49,2020-03-02,69.51,4 days,5.4%,Fall by 29.46%,12.7%
Buy,2020-03-09 - 2020-03-12,3 days,2020-03-20,53.11,2020-03-24,55.89,2 days,5.2%,Rise by 13.59%,17.9%
Buy,2020-04-23 - 2020-04-24,1 days,2020-05-08,57.03,2020-05-27,62.7,13 days,9.9%,Rise by 15.18%,27.9%
Buy,2020-06-26 - 2020-07-09,9 days,2020-07-13,60.76,2020-08-26,66.37,32 days,9.2%,Rise by 9.28%,37.1%
Sell,2020-08-26 - 2020-08-27,1 days,2020-09-01,64.99,2020-09-02,64.94,1 days,0.1%,Fall by 7.42%,37.2%
Buy,2020-09-18 - 2020-09-21,1 days,2020-09-25,61.32,2020-11-10,64.48,32 days,5.2%,Rise by 16.08%,42.3%
Buy,2020-10-21 - 2020-10-28,5 days,2020-10-30,58.78,2020-11-09,62.89,6 days,7.0%,Rise by 21.1%,49.3%
Sell,2020-11-23 - 2020-11-24,1 days,2020-12-16,72.02,2020-12-17,71.97,1 days,0.1%,Fall by -0.61%,49.4%
Sell,2021-01-18 - 2021-01-19,1 days,2021-01-22,73.58,2021-02-01,72.75,6 days,1.1%,Fall by -11.39%,50.5%
Sell,2021-02-10 - 2021-02-17,5 days,2021-02-26,77.14,2021-03-05,79.51,5 days,-3.1%,Fall by -6.25%,47.5%
Sell,2021-03-16 - 2021-03-18,2 days,2021-03-25,82.12,2021-04-23,84.21,21 days,-2.5%,Fall by 0.19%,44.9%
Sell,2021-05-17 - 2021-05-18,1 days,2021-05-31,86.9,2021-07-09,84.7,29 days,2.5%,Fall by 5.86%,47.4%
Buy,2021-06-30 - 2021-07-08,6 days,2021-07-12,85.05,2021-10-26,90.3,76 days,6.2%,Rise by 1.73%,53.6%
Buy,2021-09-01 - 2021-09-14,9 days,2021-09-16,82.94,2021-11-01,90.42,32 days,9.0%,Rise by 16.35%,62.6%
Sell,2021-10-05 - 2021-10-08,3 days,2021-10-14,85.51,2021-10-19,88.68,3 days,-3.7%,Fall by -5.43%,58.9%
Sell,2021-11-12 - 2021-11-15,1 days,2021-11-18,92.27,2021-11-23,95.22,3 days,-3.2%,Fall by -1.85%,55.7%
Sell,2021-12-10 - 2021-12-16,4 days,2021-12-31,96.98,2022-01-05,99.95,3 days,-3.1%,Fall by -2.3%,52.7%
Sell,2022-02-08 - 2022-02-11,3 days,2022-02-18,106.23,2022-02-25,104.68,5 days,1.5%,Fall by 10.96%,54.1%
Buy,2022-04-14 - 2022-04-26,8 days,2022-04-28,93.63,2022-06-23,84.01,40 days,-10.3%,Rise by 3.5%,43.9%
Sell,2022-05-31 - 2022-06-01,1 days,2022-06-08,94.85,2022-06-17,86.44,7 days,8.9%,Fall by 11.71%,52.7%
Buy,2022-06-14 - 2022-06-16,2 days,2022-06-20,87.33,2022-07-14,78.17,18 days,-10.5%,Rise by -10.49%,42.2%
Buy,2022-06-24 - 2022-07-07,9 days,2022-07-15,78.89,2022-08-12,86.45,20 days,9.6%,Rise by 12.14%,51.8%
Sell,2022-09-13 - 2022-10-04,15 days,2022-10-07,82.24,2022-10-13,84.31,4 days,-2.5%,Fall by -5.31%,49.3%
Buy,2022-10-12 - 2022-10-13,1 days,2022-10-24,86.57,2022-11-23,90.94,22 days,5.0%,Rise by 6.69%,54.3%
Sell,2022-11-01 - 2022-11-07,4 days,2022-11-14,87.9,2022-11-22,90.74,6 days,-3.2%,Fall by 1.47%,51.1%
Sell,2022-11-22 - 2022-11-23,1 days,2022-11-29,89.59,2022-12-01,91.84,2 days,-2.5%,Fall by 3.33%,48.6%
Buy,2023-01-10 - 2023-01-11,1 days,2023-01-31,92.06,2023-03-13,80.9,29 days,-12.1%,Rise by -12.12%,36.5%
Sell,2023-01-27 - 2023-01-31,2 days,2023-02-21,91.99,2023-02-27,90.55,4 days,1.6%,Fall by 12.06%,38.0%
Sell,2023-04-20 - 2023-05-08,12 days,2023-05-17,82.27,2023-05-18,82.22,1 days,0.1%,Fall by 2.31%,38.1%
Sell,2023-07-17 - 2023-07-24,5 days,2023-08-02,85.9,2023-08-10,85.85,6 days,0.1%,Fall by 6.44%,38.2%
Buy,2023-08-21 - 2023-08-24,3 days,2023-08-28,82.03,2024-01-08,86.89,95 days,5.9%,Rise by 2.52%,44.1%
Sell,2023-11-20 - 2023-11-21,1 days,2023-11-28,82.61,2023-12-05,82.02,5 days,0.7%,Fall by 3.3%,44.8%
Sell,2023-12-27 - 2024-01-02,4 days,2024-01-10,81.9,2024-01-15,81.48,3 days,0.5%,Fall by 4.03%,45.3%
Buy,2024-01-11 - 2024-01-16,3 days,2024-01-18,80.2,2024-09-13,84.54,171 days,5.4%,Rise by 2.14%,50.7%
Buy,2024-01-18 - 2024-02-08,15 days,2024-02-12,79.89,2025-05-22,92.81,333 days,16.2%,Rise by 2.54%,66.9%
Sell,2024-02-26 - 2024-02-29,3 days,2024-03-05,80.51,2024-04-12,78.29,28 days,2.8%,Fall by 3.65%,69.7%
Buy,2024-04-16 - 2024-05-06,14 days,2024-05-08,76.9,2025-04-30,88.09,255 days,14.6%,Rise by 6.32%,84.2%
Sell,2024-04-29 - 2024-04-30,1 days,2024-05-03,74.8,2024-05-08,76.9,3 days,-2.8%,Fall by -0.24%,81.4%
Sell,2024-07-17 - 2024-07-18,1 days,2024-07-25,80.04,2024-08-07,76.82,9 days,4.0%,Fall by 4.37%,85.4%
Sell,2024-09-16 - 2024-09-17,1 days,2024-09-24,85.74,2024-09-27,85.68,3 days,0.1%,Fall by 10.23%,85.5%
Buy,2024-10-16 - 2024-10-31,11 days,2024-11-06,78.77,2025-04-29,87.56,124 days,11.2%,Rise by 1.13%,96.7%
Sell,2025-01-07 - 2025-01-08,1 days,2025-01-21,82.11,2025-02-04,82.0,10 days,0.1%,Fall by -1.3%,96.8%
Sell,2025-02-11 - 2025-02-28,13 days,2025-03-05,84.99,2025-03-06,84.73,1 days,0.3%,Fall by 6.81%,97.1%
Sell,2025-03-26 - 2025-03-27,1 days,2025-04-01,84.89,2025-04-08,79.67,5 days,6.1%,Fall by -17.91%,103.2%
