Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1999-03-31,46.0,2001-08-31,36.56,632 days,1999-01-31/42.0,-20.52%,-20.52%,Rise by 41.85%,-20.52%
Buy,2003-08-31,33.2,2005-12-31,54.08,609 days,2002-08-31/31.24,62.89%,62.89%,Rise by 30.96%,42.37%
Buy,2006-01-31,56.08,2008-09-30,42.64,695 days,2005-12-31/54.08,-23.97%,-23.97%,Rise by 5.28%,18.40%
Buy,2010-03-31,41.76,2020-12-31,67.56,2806 days,2009-08-31/40.88,61.78%,61.78%,Rise by -10.15%,80.19%
Buy,2021-02-28,68.22,2022-06-30,52.83,348 days,2020-12-31/67.56,-22.56%,-22.56%,Rise by 2.98%,57.63%
Buy,2023-04-30,58.84,2023-04-30,58.84,0 days,2023-03-31/58.69,0.00%,0.00%,Rise by 0%,57.63%
