Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2010-11-21,41.96,2021-01-03,67.56,2639 days,2010-04-25/41.84,61.01%,61.01%,Rise by 10.58%,61.01%
Buy,2021-02-14,71.55,2022-04-24,56.91,309 days,2021-01-10/69.29,-20.46%,-20.46%,Rise by 2.63%,40.55%
Buy,2023-01-22,57.85,2023-01-22,57.85,0 days,2022-08-14/57.03,0.00%,0.00%,Rise by 0%,40.55%
