Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-11-20,7.16,2013-02-03,11.56,314 days,2011-04-24/6.8833,61.41%,61.41%,Rise by 25.42%,61.41%
Buy,2013-03-24,13.04,2013-09-22,21.33,129 days,2013-02-10/11.9167,63.56%,63.56%,Rise by 27.81%,124.96%
Buy,2013-11-17,26.75,2015-08-23,19.75,459 days,2013-10-20/25.3333,-26.16%,-26.16%,Rise by 57.25%,98.80%
Buy,2016-03-06,26.82,2016-04-10,21.13,24 days,2015-08-09/25.32,-21.22%,-21.22%,Rise by -14.47%,77.59%
Buy,2016-09-11,27.52,2019-04-28,44.56,684 days,2016-03-06/26.82,61.92%,61.92%,Rise by 17.37%,139.51%
Buy,2019-06-23,48.44,2019-10-13,38.18,79 days,2019-05-19/48.39,-21.18%,-21.18%,Rise by -14.02%,118.33%
Buy,2020-08-09,36.2,2022-01-23,27.95,379 days,2020-01-19/35.85,-22.79%,-22.79%,Rise by 13.76%,95.54%
Buy,2022-08-07,31.89,2022-12-25,24.73,99 days,2022-01-16/31.65,-22.45%,-22.45%,Rise by -11.73%,73.08%
Buy,2023-02-05,32.29,2023-06-18,25.44,94 days,2022-08-28/32.12,-21.21%,-21.21%,Rise by 1.21%,51.87%
Buy,2023-08-06,33.86,2025-07-27,54.42,514 days,2023-04-02/32.68,60.72%,60.72%,Rise by 20.85%,112.59%
Buy,2025-08-24,57.42,2025-08-24,57.42,0 days,2025-07-27/54.42,0.00%,0.00%,Rise by 0%,112.59%
