Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-04,110.8,2021-05-13,122.83,Buy,50 Days,-3.81,Rise by 4.14%,10.86%,10.86%
2021-10-01,127.33,2022-04-13,139.31,Buy,138 Days,-6.26,Rise by 6.25%,9.41%,20.27%
2022-05-11,126.03,2022-08-02,130.95,Buy,59 Days,-3.1,Rise by 6.34%,3.9%,24.17%
2022-06-03,129.82,2022-08-02,130.95,Buy,42 Days,-4.57,Rise by -0.11%,0.87%,25.04%
2023-03-01,126.96,2023-07-27,134.79,Buy,106 Days,-6.22,Rise by 0.43%,6.17%,31.21%
2023-06-01,128.67,2023-12-19,134.68,Buy,143 Days,-4.26,Rise by 2.76%,4.67%,35.88%
2023-10-03,127.42,2023-12-19,134.68,Buy,55 Days,-3.39,Rise by 2.87%,5.7%,41.58%
2023-11-01,124.8,2024-02-12,144.2,Buy,73 Days,-5.56,Rise by 5.07%,15.54%,57.12%
2024-05-01,140.58,2024-06-27,145.87,Buy,41 Days,-3.92,Rise by 4.08%,3.76%,60.88%
2024-11-01,147.74,2025-02-10,146.3,Buy,71 Days,-5.31,Rise by 1.65%,-0.97%,59.91%
2025-04-04,135.28,2025-08-27,136.97,Buy,103 Days,-4.44,Rise by 3.84%,1.25%,61.16%
2025-05-01,136.64,2025-08-27,136.97,Buy,84 Days,-7.52,Rise by -1.42%,0.24%,61.4%
2025-05-13,131.87,2025-07-07,134.36,Buy,39 Days,-3.55,Rise by 2.15%,1.89%,63.29%
