Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2022-02-01,36.49,2022-07-06,33.36,Buy,111 Days,-7.01,Rise by 1.23%,-8.58%,-8.58%
2022-04-11,32.07,2022-06-10,31.52,Buy,44 Days,-3.03,Rise by -11.19%,-1.71%,-10.29%
2022-05-06,29.17,2022-12-14,29.0,Buy,158 Days,-3.96,Rise by 5.11%,-0.58%,-10.88%
2022-08-01,31.11,2022-11-18,27.22,Buy,79 Days,-3.01,Rise by 1.9%,-12.5%,-23.38%
2022-10-10,26.49,2022-12-14,29.0,Buy,47 Days,-3.16,Rise by 3.36%,9.48%,-13.9%
2022-11-01,25.09,2024-05-08,24.93,Buy,396 Days,-13.05,Rise by 12.12%,-0.64%,-14.54%
2023-06-01,26.94,2024-05-08,24.93,Buy,244 Days,-11.44,Rise by 3.6%,-7.46%,-22.0%
2024-01-04,23.04,2024-03-14,24.46,Buy,50 Days,-3.98,Rise by 0.43%,6.16%,-15.84%
2024-02-01,22.18,2024-05-08,24.93,Buy,69 Days,-4.56,Rise by 4.33%,12.4%,-3.44%
2024-07-01,23.68,2024-10-10,28.81,Buy,73 Days,-6.7,Rise by 1.14%,21.66%,18.22%
2024-11-15,27.37,2025-02-20,27.14,Buy,69 Days,-3.76,Rise by 6.65%,-0.84%,17.38%
2025-01-02,25.69,2025-02-26,27.13,Buy,39 Days,-3.97,Rise by 1.75%,5.61%,22.99%
2025-04-04,25.21,2025-05-19,26.84,Buy,31 Days,-3.04,Rise by 1.98%,6.47%,29.45%
2025-05-01,25.61,2025-07-29,29.15,Buy,63 Days,-8.39,Rise by 6.44%,13.82%,43.28%
