Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2014-07-27,3.12,2015-08-30,3.82,284 days,22.440000%,22.440000%,Rise by -10.580000%,22.440000%
Buy,2018-10-28,6.52,2024-05-05,10.76,1439 days,65.030000%,65.030000%,Rise by 5.830000%,87.470000%
Buy,2024-05-26,10.1,2024-05-26,10.1,0 days,0.00%,0.00%,Rise by 0%,87.470000%
