Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-24,2.9300,2021-12-03,3.0800,7 days,5.12%,5.1195%,Rise by 0.0%,5.1195%,
Buy,2021-12-20,2.8600,2022-01-12,2.9250,17 days,2.27%,2.2727%,Rise by 2.45%,7.3922%,
Buy,2022-01-27,2.7200,2022-02-02,2.8500,4 days,4.78%,4.7794%,Rise by 6.62%,12.1716%,
Buy,2022-06-10,2.5600,2022-06-27,2.7000,11 days,5.47%,5.4688%,Rise by 7.23%,17.6403%,
Buy,2022-09-30,2.7400,2022-10-26,2.8400,18 days,3.65%,3.6496%,Rise by 3.65%,21.2900%,
Buy,2022-11-24,2.6100,2022-11-25,2.6900,1 days,3.07%,3.0651%,Rise by 2.68%,24.3551%,
Buy,2022-12-01,2.5900,2022-12-16,2.6800,11 days,3.47%,3.4749%,Rise by 3.47%,27.8300%,
Buy,2023-03-27,2.6700,2023-03-30,2.8000,3 days,4.87%,4.8689%,Rise by 3.75%,32.6989%,
Buy,2023-08-15,2.5800,2023-10-24,2.3900,50 days,-7.36%,-7.3643%,Rise by -1.16%,25.3346%,
Buy,2024-03-26,2.4000,2024-03-27,2.4600,1 days,2.50%,2.5000%,Rise by -4.79%,27.8346%,
Buy,2024-05-16,2.2100,2024-05-20,2.2700,2 days,2.71%,2.7149%,Rise by 1.36%,30.5495%,
Buy,2024-05-31,2.1000,2024-06-11,2.1850,7 days,4.05%,4.0476%,Rise by 6.19%,34.5971%,
Buy,2024-09-30,2.1100,2024-11-20,2.1750,37 days,3.08%,3.0806%,Rise by 1.18%,37.6777%,
Buy,2025-03-24,2.1500,2025-04-16,2.2000,17 days,2.33%,2.3256%,Rise by 3.26%,40.0033%,
