Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-29,315.3000,2021-12-13,322.7000,10 days,2.35%,2.3470%,Rise by 14.41%,2.3470%
Buy,2022-01-18,316.6500,2022-01-24,286.3750,4 days,-9.56%,-9.5610%,Rise by -12.05%,-7.2141%
Buy,2022-01-28,276.0750,2022-01-31,286.3000,1 days,3.70%,3.7037%,Rise by 10.69%,-3.5104%
Buy,2022-02-09,284.4750,2022-03-14,299.0750,23 days,5.13%,5.1323%,Rise by 7.43%,1.6219%
Buy,2022-04-20,268.2500,2022-05-02,247.5000,8 days,-7.74%,-7.7353%,Rise by -10.97%,-6.1134%
Buy,2022-05-05,250.5750,2022-05-19,225.5750,10 days,-9.98%,-9.9771%,Rise by -11.23%,-16.0905%
Buy,2022-06-20,207.3250,2022-08-01,214.5000,30 days,3.46%,3.4608%,Rise by 6.85%,-12.6297%
Buy,2023-10-27,191.1750,2023-11-15,195.8250,13 days,2.43%,2.4323%,Rise by 24.79%,-10.1974%
Buy,2024-03-28,240.0500,2024-04-18,222.1750,15 days,-7.45%,-7.4464%,Rise by -2.98%,-17.6438%
Buy,2024-04-19,226.3750,2024-04-26,232.3000,5 days,2.62%,2.6173%,Rise by 2.88%,-15.0264%
Buy,2025-03-04,280.0000,2025-04-03,256.3500,22 days,-8.45%,-8.4464%,Rise by -2.79%,-23.4728%
Buy,2025-04-11,239.7500,2025-05-12,257.2800,21 days,7.31%,7.3118%,Rise by 7.31%,-16.1611%
