Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2019-12-18 - 2019-12-20,2 days,2019-12-26,30.67,2019-12-27,30.17,1 days,1.6%,Fall by 14.44%,1.6%,
Sell,2020-01-17 - 2020-01-23,4 days,2020-01-31,36.29,2020-02-03,37.59,1 days,-3.6%,Fall by 10.58%,-2.0%,
Sell,2020-02-11 - 2020-02-12,1 days,2020-02-18,40.18,2020-02-28,33.87,8 days,15.7%,Fall by 19.84%,13.8%,
Buy,2020-03-13 - 2020-03-18,3 days,2020-03-20,21.33,2020-03-23,22.4,1 days,5.0%,Rise by 74.45%,18.8%,
Sell,2020-04-27 - 2020-04-29,2 days,2020-05-04,27.42,2020-05-07,30.93,3 days,-12.8%,Fall by -7.99%,6.0%,
Sell,2020-06-02 - 2020-06-03,1 days,2020-06-09,36.59,2020-06-12,32.24,3 days,11.9%,Fall by 16.43%,17.9%,
Sell,2020-09-14 - 2020-09-16,2 days,2020-09-22,34.4,2020-09-28,35.56,4 days,-3.4%,Fall by 2.88%,14.5%,
Buy,2020-10-19 - 2020-10-28,7 days,2020-11-02,34.81,2020-11-04,40.99,2 days,17.8%,Rise by 57.6%,32.2%,
Sell,2020-11-18 - 2020-11-24,4 days,2020-11-30,49.66,2020-12-01,49.63,1 days,0.1%,Fall by 3.12%,32.3%,
Sell,2020-12-04 - 2020-12-07,1 days,2020-12-15,51.0,2020-12-22,53.78,5 days,-5.5%,Fall by 5.67%,26.8%,
Buy,2020-12-18 - 2020-12-21,1 days,2020-12-30,53.15,2021-01-07,56.13,6 days,5.6%,Rise by 18.87%,32.5%,
Sell,2021-01-13 - 2021-01-14,1 days,2021-01-22,54.31,2021-01-26,51.92,2 days,4.4%,Fall by 5.27%,36.9%,
Sell,2021-02-08 - 2021-02-11,3 days,2021-02-18,59.0,2021-02-24,53.91,4 days,8.6%,Fall by 10.9%,45.5%,
Sell,2021-03-15 - 2021-03-16,1 days,2021-03-19,57.08,2021-03-22,55.69,1 days,2.4%,Fall by 10.34%,47.9%,
Buy,2021-05-10 - 2021-05-12,2 days,2021-05-14,47.42,2021-05-24,50.03,6 days,5.5%,Rise by 9.09%,53.4%,
Sell,2021-06-25 - 2021-06-28,1 days,2021-07-08,47.55,2021-07-09,49.07,1 days,-3.2%,Fall by 10.01%,50.2%,
Buy,2021-10-29 - 2021-11-02,2 days,2021-11-16,45.76,2021-11-26,40.52,8 days,-11.5%,Rise by -21.66%,38.8%,
Buy,2021-12-01 - 2021-12-03,2 days,2021-12-07,38.08,2021-12-21,41.97,10 days,10.2%,Rise by 16.65%,49.0%,
Sell,2021-12-23 - 2022-01-05,9 days,2022-01-13,42.87,2022-01-20,37.82,5 days,11.8%,Fall by 13.3%,60.8%,
Buy,2022-01-24 - 2022-01-28,4 days,2022-02-04,37.05,2022-02-09,40.19,3 days,8.5%,Rise by -12.58%,69.2%,
Sell,2022-02-09 - 2022-02-10,1 days,2022-02-22,33.68,2022-02-24,34.87,2 days,-3.5%,Fall by 13.09%,65.7%,
Buy,2022-02-23 - 2022-02-24,1 days,2022-03-09,31.5,2022-03-18,33.36,7 days,5.9%,Rise by 18.06%,71.6%,
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-26,23.1,2022-06-02,24.74,5 days,7.1%,Rise by -11.39%,78.7%,
Sell,2022-06-08 - 2022-06-09,1 days,2022-06-14,21.09,2022-06-15,22.03,1 days,-4.5%,Fall by -31.86%,74.3%,
Sell,2022-07-07 - 2022-07-08,1 days,2022-07-13,21.5,2022-07-18,22.58,3 days,-5.0%,Fall by -29.35%,69.2%,
Sell,2022-08-08 - 2022-08-11,3 days,2022-08-17,30.72,2022-08-24,28.71,5 days,6.5%,Fall by 12.47%,75.8%,
Sell,2022-09-12 - 2022-09-15,3 days,2022-09-22,28.58,2022-09-27,27.57,3 days,3.5%,Fall by 13.72%,79.3%,
Buy,2022-09-26 - 2022-10-03,5 days,2022-10-05,29.18,2022-10-11,24.66,4 days,-15.5%,Rise by 1.95%,63.8%,
Buy,2022-10-24 - 2022-10-31,5 days,2022-11-04,28.39,2022-11-15,31.57,7 days,11.2%,Rise by -12.12%,75.0%,
Sell,2022-10-28 - 2022-11-01,2 days,2022-11-08,27.44,2022-11-10,28.85,2 days,-5.1%,Fall by 10.2%,69.9%,
Sell,2022-11-23 - 2022-12-01,6 days,2022-12-07,26.4,2022-12-14,27.47,5 days,-4.1%,Fall by 7.58%,65.8%,
Buy,2022-12-20 - 2022-12-27,5 days,2022-12-29,24.91,2023-01-06,26.4,6 days,6.0%,Rise by 47.85%,71.8%,
Sell,2023-01-13 - 2023-01-18,3 days,2023-01-30,29.63,2023-01-31,30.93,1 days,-4.4%,Fall by -1.48%,67.4%,
Sell,2023-03-16 - 2023-03-21,3 days,2023-03-24,30.75,2023-03-31,31.7,5 days,-3.1%,Fall by 3.77%,64.3%,
Sell,2023-04-17 - 2023-04-18,1 days,2023-04-21,30.83,2023-04-24,30.68,1 days,0.5%,Fall by -36.59%,64.8%,
Sell,2023-05-10 - 2023-05-12,2 days,2023-05-17,37.84,2023-05-18,39.25,1 days,-3.7%,Fall by -11.28%,61.1%,
