Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-12-02,219.2100,2021-12-08,225.6300,4 days,2.93%,2.9287%,Rise by 2.79%,2.9287%,
Buy,2021-12-17,215.1400,2021-12-23,222.0400,4 days,3.21%,3.2072%,Rise by 4.73%,6.1359%,
Buy,2022-01-24,201.5300,2022-03-22,207.5000,41 days,2.96%,2.9623%,Rise by 2.52%,9.0983%,
Buy,2022-05-12,172.6000,2022-05-17,182.6400,3 days,5.82%,5.8169%,Rise by 10.6%,14.9152%,
Buy,2022-06-17,165.1800,2022-06-24,175.0900,5 days,6.00%,5.9995%,Rise by 21.73%,20.9147%,
Buy,2022-09-27,164.7300,2022-09-28,169.9400,1 days,3.16%,3.1628%,Rise by 13.85%,24.0774%,
Buy,2023-03-14,176.5200,2023-06-02,182.0200,58 days,3.12%,3.1158%,Rise by 1.11%,27.1932%,
Buy,2023-08-18,184.6500,2023-08-29,188.2300,7 days,1.94%,1.9388%,Rise by 3.36%,29.1320%,
Buy,2024-04-18,192.8400,2024-04-23,198.5700,3 days,2.97%,2.9714%,Rise by 8.61%,32.1034%,
Buy,2024-12-20,221.9200,2025-01-21,229.7900,22 days,3.55%,3.5463%,Rise by 3.55%,35.6497%,
Buy,2025-02-26,215.6800,2025-03-10,200.7700,8 days,-6.91%,-6.9130%,Rise by -3.16%,28.7367%,
Buy,2025-03-11,200.7500,2025-03-17,205.4500,4 days,2.34%,2.3412%,Rise by -10.56%,31.0779%,
Buy,2025-04-09,189.6800,2025-05-02,200.4800,17 days,5.69%,5.6938%,Rise by 10.63%,36.7717%,
