Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2025-02-05,139.39,2025-03-12,149.43,2021-10-04-2024-11-11,53.39-152.97,Buy,25 days,7.2%,Rise by 15.37%,454.29%
2025-03-14,149.98,2025-04-11,161.74,2024-07-23-2024-09-10,128.5-128.96,Sell,20 days,-7.84%,Fall by -1.14%,446.45%
2025-04-30,170.1,2025-05-14,163.59,2024-11-11-2025-01-16,135.11-148.32,Sell,10 days,3.83%,Fall by -13.39%,450.28%
2025-06-10,175.76,2025-06-12,193.94,2024-11-11-2025-02-03,138.32-148.32,Sell,2 days,-10.34%,Fall by 4.36%,439.93%
2025-07-25,186.59,2025-09-02,185.75,2025-02-03-2025-06-11,132.37-196.46,Buy,27 days,-0.45%,Rise by -1.85%,439.48%
2025-08-26,192.07,2025-08-27,185.07,2025-04-23-2025-05-12,167.65-171.79,Sell,1 days,3.64%,Fall by 5.51%,443.13%
2025-09-02,185.75,2025-09-02,185.75,2025-02-03-2025-08-19,132.37-198.66,Buy,0 days,0.0%,Rise by 0%,443.13%
2025-10-07,177.71,2025-10-16,180.73,2025-02-03-2025-06-11,132.37-196.46,Sell,7 days,-1.7%,Fall by -0.87%,441.43%
2025-10-08,176.67,2025-10-31,182.31,2024-09-10-2025-06-11,124.99-196.46,Sell,17 days,-3.19%,Fall by 0.0%,438.24%
2025-10-16,180.73,2025-10-16,180.73,2023-12-15-2025-08-19,89.93-198.66,Buy,0 days,0.0%,Rise by 0%,438.24%
2025-10-31,182.31,2025-10-31,182.31,2025-08-19-2025-10-14,176.71-195.1,Sell,0 days,-0.0%,Fall by 0%,438.24%
