Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2021-02-17 - 2021-02-23,4 days,2021-02-26,131.07,2022-06-13,116.72,336 days,-10.9%,Rise by -0.32%,-10.9%
Buy,2021-09-27 - 2021-10-11,10 days,2021-10-13,129.63,2022-06-14,116.23,174 days,-10.3%,Rise by 0.14%,-21.3%
Buy,2021-10-21 - 2021-10-22,1 days,2021-11-04,129.51,2022-06-14,116.23,158 days,-10.3%,Rise by -0.1%,-31.5%
Buy,2022-01-19 - 2022-01-26,5 days,2022-02-02,126.81,2022-09-26,113.66,168 days,-10.4%,Rise by 0.09%,-41.9%
Buy,2022-03-15 - 2022-03-22,5 days,2022-03-28,121.48,2022-03-28,121.48,0 days,0.0%,Rise by -0.46%,-41.9%
Buy,2022-03-28 - 2022-04-05,6 days,2022-04-07,120.68,2022-04-07,120.68,0 days,0.0%,Rise by 0.2%,-41.9%
Buy,2022-04-19 - 2022-05-03,10 days,2022-05-05,119.09,2022-05-05,119.09,0 days,0.0%,Rise by 1.54%,-41.9%
Buy,2022-06-10 - 2022-06-14,2 days,2022-06-16,117.71,2022-06-16,117.71,0 days,0.0%,Rise by 3.05%,-41.9%
Buy,2022-08-24 - 2022-08-31,5 days,2022-09-02,117.86,2022-09-02,117.86,0 days,0.0%,Rise by -3.03%,-41.9%
Buy,2022-09-15 - 2022-09-22,5 days,2022-09-28,114.9,2022-09-28,114.9,0 days,0.0%,Rise by -0.53%,-41.9%
Buy,2022-09-27 - 2022-10-10,9 days,2022-10-12,113.91,2022-10-12,113.91,0 days,0.0%,Rise by 2.5%,-41.9%
Buy,2023-02-07 - 2023-02-21,10 days,2023-02-23,114.76,2023-02-23,114.76,0 days,0.0%,Rise by 3.39%,-41.9%
Sell,2023-03-14 - 2023-03-15,1 days,2023-03-21,116.63,2023-03-22,117.74,1 days,-1.0%,Fall by -0.28%,-42.9%
Sell,2023-03-24 - 2023-04-05,8 days,2023-04-11,117.79,2023-04-18,117.13,5 days,0.6%,Fall by 1.92%,-42.3%
Buy,2023-05-22 - 2023-05-26,4 days,2023-05-31,116.88,2023-05-31,116.88,0 days,0.0%,Rise by -0.63%,-42.3%
Buy,2023-07-05 - 2023-07-06,1 days,2023-07-21,115.44,2023-07-21,115.44,0 days,0.0%,Rise by -0.5%,-42.3%
Buy,2023-09-21 - 2023-09-27,4 days,2023-09-29,113.16,2024-08-02,119.0,220 days,5.2%,Rise by 3.72%,-37.1%
Sell,2023-11-29 - 2023-12-07,6 days,2023-12-18,116.41,2023-12-20,116.9,2 days,-0.4%,Fall by 0.03%,-37.6%
Sell,2023-12-29 - 2024-01-12,10 days,2024-01-18,116.44,2024-01-31,117.49,9 days,-0.9%,Fall by 1.19%,-38.5%
Buy,2024-03-18 - 2024-04-03,12 days,2024-04-12,114.05,2024-04-12,114.05,0 days,0.0%,Rise by 1.01%,-38.5%
Buy,2024-04-12 - 2024-04-16,2 days,2024-05-02,113.95,2024-09-06,119.66,91 days,5.0%,Rise by 1.69%,-33.5%
Sell,2024-07-16 - 2024-07-17,1 days,2024-07-22,116.33,2024-07-26,116.86,4 days,-0.5%,Fall by 0.52%,-33.9%
Sell,2024-08-02 - 2024-08-05,1 days,2024-08-08,117.98,2024-08-13,118.78,3 days,-0.7%,Fall by 1.92%,-34.6%
Sell,2024-09-17 - 2024-09-18,1 days,2024-09-26,119.58,2024-10-11,117.84,11 days,1.5%,Fall by 3.23%,-33.1%
Buy,2024-10-07 - 2024-11-01,19 days,2024-11-07,116.39,2024-11-07,116.39,0 days,0.0%,Rise by 0.67%,-33.1%
Buy,2024-11-14 - 2024-11-15,1 days,2024-11-27,116.86,2024-11-27,116.86,0 days,0.0%,Rise by -0.5%,-33.1%
Buy,2024-12-18 - 2024-12-26,6 days,2024-12-30,115.54,2024-12-30,115.54,0 days,0.0%,Rise by 0.63%,-33.1%
Sell,2025-02-28 - 2025-03-04,2 days,2025-03-25,117.49,2025-03-27,117.4,2 days,0.1%,Fall by 0.43%,-33.1%
Sell,2025-04-01 - 2025-04-04,3 days,2025-04-09,117.68,2025-04-10,117.52,1 days,0.1%,Fall by 0.64%,-32.9%
Sell,2025-08-28 - 2025-08-29,1 days,2025-09-19,119.68,2025-09-26,119.32,5 days,0.3%,Fall by -0.06%,-32.6%
Sell,2025-10-14 - 2025-10-16,2 days,2025-10-27,120.13,2025-10-31,119.75,4 days,0.3%,Fall by 0.32%,-32.3%
