Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2023-10-05 (Price: 29.12),13/84.62%,No Next Target,"52.64%, 526 days",3.63%/1.18%/2.01%,No Next Target,Daily,DELTADRIFT,75.78%/161/10 days (Across ALL Assets),80.16%/499/11 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2023-06-01 (Price: 29.81),13/84.62%,No Next Target,"49.11%, 616 days",3.63%/1.18%/2.01%,No Next Target,Daily,DELTADRIFT,75.78%/161/10 days (Across ALL Assets),80.16%/499/11 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2023-03-20 (Price: 29.64),13/84.62%,No Next Target,"49.97%, 669 days",3.63%/1.18%/2.01%,No Next Target,Daily,DELTADRIFT,75.78%/161/10 days (Across ALL Assets),80.16%/499/11 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2022-04-28 (Price: 32.36),13/84.62%,No Next Target,"37.36%, 901 days",3.63%/1.18%/2.01%,No Next Target,Daily,DELTADRIFT,75.78%/161/10 days (Across ALL Assets),80.16%/499/11 days (Across ALL Assets)
