Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2020-12-27,62.85,2021-09-26,49.72,194 days,2020-11-29/58.7133,-20.90%,-20.90%,Rise by -19.6%,-20.90%,
Buy,2022-04-17,65.83,2023-09-03,52.16,359 days,2021-07-11/65.0667,-20.76%,-20.76%,Rise by -10.65%,-41.66%,
Buy,2024-07-14,49.3,2024-07-14,49.3,0 days,2024-02-18/49.27,0.00%,0.00%,Rise by 0%,-41.66%,
