Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2013-09-30,29.0,2023-12-31,47.62,2674 days,2013-06-30/26.755,64.22%,64.22%,Rise by 14.0%,64.22%
Buy,2024-03-31,53.68,2024-03-31,53.68,0 days,2023-12-31/47.615,0.00%,0.00%,Rise by 0%,64.22%
