Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-09-25,1.35,2013-03-03,1.31,374 days,-3.120000%,-3.120000%,Rise by -0.790000%,-3.120000%,
Buy,2014-06-22,1.36,2018-04-29,1.21,1004 days,-11.030000%,-11.030000%,Rise by -10.290000%,-14.150000%,
Buy,2018-05-27,1.17,2021-02-07,1.2,704 days,2.080000%,2.080000%,Rise by 0.450000%,-12.070000%,
Buy,2021-11-28,1.12,2024-10-13,1.09,749 days,-2.460000%,-2.460000%,Rise by 2.200000%,-14.530000%,
Buy,2024-12-01,1.06,2025-10-12,1.16,224 days,9.500000%,9.500000%,Rise by 7.900000%,-5.040000%,
