Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-01-18,1.21,2021-09-13,1.18,169 days,-2.120000%,-2.120000%,Rise by 0.850000%,-2.120000%,
Buy,2021-10-01,1.16,2022-06-10,1.06,179 days,-8.250000%,-8.250000%,Rise by 0.950000%,-10.370000%,
Buy,2022-06-15,1.04,2023-06-30,1.09,271 days,4.090000%,4.090000%,Rise by -1.190000%,-6.280000%,
Buy,2023-08-24,1.09,2023-12-01,1.09,70 days,0.240000%,0.240000%,Rise by -2.230000%,-6.040000%,
Buy,2024-01-18,1.09,2024-03-19,1.09,42 days,-0.110000%,-0.110000%,Rise by 0.630000%,-6.150000%,
Buy,2024-04-01,1.08,2024-05-30,1.08,42 days,0.080000%,0.080000%,Rise by 0.900000%,-6.070000%,
Buy,2024-06-12,1.07,2024-09-03,1.11,58 days,3.040000%,3.040000%,Rise by 1.860000%,-3.030000%,
Buy,2024-10-08,1.1,2025-03-27,1.07,121 days,-2.130000%,-2.130000%,Rise by -0.380000%,-5.160000%,
Buy,2025-07-31,1.14,2025-09-24,1.18,38 days,3.370000%,3.370000%,Rise by 2.480000%,-1.790000%,
Buy,2025-10-10,1.16,2025-10-10,1.16,0 days,0.00%,0.00%,Rise by 0%,-1.790000%,
