Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-05-31,9.53,2012-10-31,10.52,Buy,108 days,Rise by 10.950000%,10.32
2014-12-31,19.8,2015-05-31,22.96,Buy,107 days,Rise by 51.730000%,15.96
2017-10-31,47.87,2018-04-30,49.27,Buy,128 days,Rise by -15.000000%,2.92
2021-04-30,57.28,2022-04-30,71.42,Buy,260 days,Rise by 43.730000%,24.69
2022-01-31,65.59,2022-09-30,79.3,Buy,173 days,Rise by 25.520000%,20.9
2022-04-30,71.42,2022-10-31,80.95,Buy,129 days,Rise by 15.280000%,13.34
2022-07-31,77.61,2023-07-31,86.86,Buy,259 days,Rise by 15.600000%,11.92
2024-05-31,129.0,2025-01-31,137.53,Buy,174 days,Rise by 13.050000%,6.61
2025-05-31,176.5,2025-05-31,176.5,Buy,0 days,Rise by 3.290000%,0.0
