Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-05-04,27.03,2020-05-07,31.78,Sell,2 days,Fall by -3.290000%,-17.57,
2020-05-12,29.53,2020-05-18,30.43,Sell,3 days,Fall by 5.450000%,-3.05,
2020-06-22,34.25,2020-06-30,33.01,Sell,5 days,Fall by 12.700000%,3.62,
2020-08-05,30.89,2020-11-12,36.46,Buy,70 days,Rise by -0.390000%,18.03,
2020-08-26,29.52,2020-09-16,30.7,Buy,14 days,Rise by 8.300000%,4.0,
2020-09-09,29.87,2020-11-12,36.46,Buy,45 days,Rise by -10.380000%,22.06,
2020-10-16,25.53,2020-10-30,22.83,Sell,9 days,Fall by 10.580000%,10.58,
2020-10-27,22.94,2020-11-02,24.5,Sell,3 days,Fall by -106.100000%,-6.8,
2021-03-15,67.42,2021-11-16,51.28,Buy,175 days,Rise by -11.230000%,-23.94,
2021-03-24,60.97,2021-05-05,52.63,Sell,29 days,Fall by 1.840000%,13.68,
2021-04-30,55.66,2021-05-11,48.82,Sell,6 days,Fall by 10.800000%,12.29,
2021-12-20,38.62,2021-12-27,44.03,Buy,4 days,Rise by 16.390000%,14.01,
2021-12-22,42.46,2022-01-04,44.95,Buy,8 days,Rise by -13.070000%,5.86,
2022-02-08,41.2,2022-08-12,19.4,Buy,132 days,Rise by -10.240000%,-52.91,
2022-05-04,21.56,2022-05-12,18.59,Sell,5 days,Fall by 15.820000%,13.78,
2022-07-29,13.86,2022-08-05,20.28,Buy,4 days,Rise by 31.240000%,46.32,
2022-08-02,16.16,2022-08-08,19.83,Buy,3 days,Rise by -13.550000%,22.71,
2022-09-30,13.17,2022-10-12,11.9,Sell,7 days,Fall by 10.630000%,9.64,
2022-10-25,14.81,2023-01-31,16.25,Buy,69 days,Rise by -26.400000%,9.72,
2022-10-26,14.76,2023-01-31,16.25,Buy,68 days,Rise by -27.910000%,10.09,
2022-11-09,10.64,2022-11-11,12.7,Sell,1 days,Fall by 3.010000%,-19.36,
2022-11-11,12.7,2023-01-17,14.35,Buy,46 days,Rise by -15.750000%,12.99,
2022-11-17,11.35,2022-11-30,11.22,Sell,8 days,Fall by 9.070000%,1.15,
2022-12-09,10.95,2022-12-16,11.09,Buy,4 days,Rise by 63.740000%,1.28,
2022-12-12,11.51,2023-01-12,14.55,Buy,22 days,Rise by -14.250000%,26.41,
2023-01-09,12.7,2023-01-17,14.35,Buy,5 days,Rise by 41.180000%,12.99,
2023-05-08,8.54,2023-05-22,8.1,Sell,9 days,Fall by 6.440000%,5.15,
2023-07-11,11.55,2023-08-01,12.23,Buy,14 days,Rise by 10.040000%,5.89,
2023-09-21,10.33,2023-10-06,11.09,Sell,10 days,Fall by 10.360000%,-7.36,
2023-09-22,9.94,2023-10-06,11.09,Sell,9 days,Fall by 7.750000%,-11.57,
2023-10-13,10.07,2023-10-31,9.17,Sell,11 days,Fall by 8.940000%,8.94,
2023-10-17,10.82,2023-12-04,12.66,Buy,33 days,Rise by -15.250000%,17.01,
2023-10-26,9.43,2023-11-02,9.94,Sell,4 days,Fall by -32.130000%,-5.41,
2023-11-09,10.08,2023-11-15,10.86,Sell,3 days,Fall by -23.610000%,-7.74,
2023-11-29,11.63,2023-12-07,12.43,Buy,5 days,Rise by 34.480000%,6.88,
2024-02-15,19.03,2024-03-26,19.63,Buy,27 days,Rise by -14.080000%,3.15,
2024-04-02,18.58,2024-04-11,19.52,Sell,6 days,Fall by 10.060000%,-5.06,
2024-05-16,16.95,2024-05-23,15.43,Sell,4 days,Fall by 11.030000%,8.97,
2024-05-20,16.07,2024-06-13,14.48,Sell,17 days,Fall by 11.820000%,9.89,
2024-06-26,13.33,2024-07-22,12.48,Sell,17 days,Fall by 10.430000%,6.38,
2024-09-11,11.95,2024-09-23,12.72,Buy,7 days,Rise by 11.720000%,6.44,
2025-01-27,13.86,2025-05-14,16.86,Buy,76 days,Rise by 9.090000%,21.65,
2025-04-01,12.23,2025-05-06,12.89,Buy,24 days,Rise by -10.960000%,5.4,
2025-04-28,12.26,2025-05-06,12.89,Buy,5 days,Rise by 40.380000%,5.14,
2025-07-10,15.32,2025-07-17,14.76,Sell,4 days,Fall by 11.100000%,3.66,
2025-08-18,16.02,2025-09-08,17.71,Buy,14 days,Rise by 42.570000%,10.55,
2025-08-25,17.05,2025-09-12,18.62,Buy,13 days,Rise by 33.960000%,9.21,
2025-09-03,16.92,2025-09-11,18.32,Buy,5 days,Rise by 34.990000%,8.27,
2025-09-09,18.39,2025-09-18,21.96,Buy,6 days,Rise by 24.690000%,19.41,
2025-10-30,19.75,2025-10-30,19.75,Sell,0 days,Fall by -3.590000%,0.0,
