Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-12-16,39.67,2022-06-13,29.43,Buy,127 Days,-3.08,Rise by -14.14%,-25.81%,-25.81%,
2022-03-01,33.61,2022-06-13,29.43,Buy,74 Days,-5.51,Rise by -16.54%,-12.44%,-38.25%,
2022-08-01,27.63,2022-11-18,25.91,Buy,79 Days,-4.83,Rise by 4.42%,-6.23%,-44.47%,
2022-09-01,29.33,2022-11-18,25.91,Buy,56 Days,-3.02,Rise by -0.99%,-11.66%,-56.14%,
2022-10-03,24.74,2022-11-18,25.91,Buy,34 Days,-3.55,Rise by -10.11%,4.73%,-51.41%,
2022-10-13,22.24,2022-12-16,30.06,Buy,46 Days,-4.03,Rise by -17.22%,35.16%,-16.24%,
2022-10-27,19.83,2022-12-16,30.06,Buy,36 Days,-3.18,Rise by 15.03%,51.59%,35.34%,
2023-03-09,28.11,2023-06-22,27.51,Buy,75 Days,-3.74,Rise by 2.99%,-2.13%,33.21%,
2024-02-01,23.66,2024-05-01,27.97,Buy,64 Days,-6.04,Rise by 7.4%,18.22%,51.43%,
2024-07-01,27.1,2024-10-10,34.69,Buy,73 Days,-9.08,Rise by 6.31%,28.01%,79.43%,
2024-08-01,25.93,2024-10-10,34.69,Buy,50 Days,-5.72,Rise by 2.74%,33.78%,113.22%,
2024-11-13,30.49,2025-02-04,31.91,Buy,59 Days,-3.19,Rise by 2.33%,4.66%,117.87%,
2025-04-04,31.31,2025-06-16,34.83,Buy,51 Days,-3.88,Rise by -0.06%,11.24%,129.12%,
