Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-05-15,500.0,2023-06-25,530.0,Sell,289 Days,-24.71,Fall by -0.3%,-6.0%,-6.0%,
2023-06-11,527.5,2023-12-17,414.0,Buy,134 Days,20.25,Rise by 1.9%,-21.52%,-27.52%,
2025-01-19,22.3,2025-01-26,23.65,Sell,4 Days,-15.14,Fall by 12.33%,-6.05%,-33.57%,
2025-07-06,4.21,2025-08-03,3.49,Buy,19 Days,11.9,Rise by -22.09%,-17.1%,-50.67%,
