Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-03-01,108.05,2023-01-27,93.3,Buy,238 Days,-11.75,Rise by -0.12%,-13.65%,-13.65%,
2022-07-01,77.0,2023-01-27,93.3,Buy,150 Days,-7.58,Rise by 14.01%,21.17%,7.52%,
2022-09-01,81.64,2022-11-28,79.22,Buy,62 Days,-3.66,Rise by 0.62%,-2.96%,4.55%,
2022-10-03,69.25,2022-12-06,79.56,Buy,46 Days,-5.26,Rise by -11.49%,14.89%,19.44%,
2022-10-14,63.92,2022-12-06,79.56,Buy,37 Days,-3.14,Rise by 27.35%,24.47%,43.91%,
2023-05-01,83.98,2023-06-16,104.57,Buy,34 Days,-3.23,Rise by 1.86%,24.52%,68.43%,
2023-08-01,98.4,2023-10-17,91.0,Buy,55 Days,-3.12,Rise by -4.25%,-7.52%,60.91%,
2024-08-01,158.18,2024-10-22,198.48,Buy,58 Days,-6.16,Rise by 10.92%,25.48%,86.38%,
2025-03-03,172.97,2025-05-19,193.5,Buy,55 Days,-5.03,Rise by 4.73%,11.87%,98.25%,
2025-04-01,168.64,2025-07-22,234.6,Buy,80 Days,-8.62,Rise by -16.17%,39.11%,137.37%,
