Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-12,123.5400,2022-02-08,132.1600,19 days,6.98%,6.9775%,Rise by 12.85%,6.9775%,
Buy,2022-04-11,105.6500,2022-07-08,110.3000,64 days,4.40%,4.4013%,Rise by 3.98%,11.3788%,
Buy,2023-03-27,156.3400,2023-03-29,160.1500,2 days,2.44%,2.4370%,Rise by 3.39%,13.8158%,
Buy,2023-05-01,146.8100,2023-06-29,152.8700,43 days,4.13%,4.1278%,Rise by 1.01%,17.9436%,
Buy,2023-10-26,150.0700,2023-11-14,159.2600,13 days,6.12%,6.1238%,Rise by 6.52%,24.0674%,
Buy,2024-04-22,198.8600,2024-04-30,179.2800,6 days,-9.85%,-9.8461%,Rise by -5.18%,14.2213%,
Buy,2024-05-02,181.1400,2024-05-10,188.2500,6 days,3.93%,3.9251%,Rise by 8.98%,18.1464%,
Buy,2024-05-24,182.3000,2024-06-06,191.3000,9 days,4.94%,4.9369%,Rise by 8.29%,23.0833%,
Buy,2024-09-10,188.6700,2024-09-11,193.5500,1 days,2.59%,2.5865%,Rise by 2.51%,25.6699%,
Buy,2024-10-02,182.7600,2024-10-11,191.4700,7 days,4.77%,4.7658%,Rise by 13.89%,30.4357%,
Buy,2025-02-06,186.4600,2025-02-20,143.7800,10 days,-22.89%,-22.8896%,Rise by -27.71%,7.5461%,
Buy,2025-02-25,132.1900,2025-03-26,119.9200,21 days,-9.28%,-9.2821%,Rise by -10.83%,-1.7360%,
