Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2020-04-05,29.1800,2020-04-12,34.3900,4 days,17.85%,17.8547%,Rise by 106.41%,17.8547%
Buy,2022-05-01,103.3400,2022-07-24,116.4500,59 days,12.69%,12.6863%,Rise by 35.43%,30.5410%
Buy,2025-03-23,117.4900,2025-07-27,128.1300,89 days,9.06%,9.0561%,Rise by 7.46%,39.5971%
