Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-26,31.7100,2022-01-31,32.4400,3 days,2.30%,2.3021%,Rise by 4.73%,2.3021%
Buy,2022-04-28,32.3600,2022-05-12,30.4300,10 days,-5.96%,-5.9642%,Rise by -0.93%,-3.6620%
Buy,2022-05-13,30.9500,2022-05-27,31.6400,10 days,2.23%,2.2294%,Rise by 3.59%,-1.4326%
Buy,2022-06-20,29.4200,2022-07-29,30.1300,29 days,2.41%,2.4133%,Rise by 5.78%,0.9807%
Buy,2022-09-28,28.6200,2022-10-04,29.6600,4 days,3.63%,3.6338%,Rise by 9.54%,4.6145%
Buy,2022-12-20,29.5000,2022-12-21,29.8800,1 days,1.29%,1.2881%,Rise by 7.73%,5.9026%
Buy,2023-02-24,30.6900,2023-03-03,31.2300,5 days,1.76%,1.7595%,Rise by 3.1%,7.6622%
Buy,2023-03-16,29.7000,2023-03-29,30.1400,9 days,1.48%,1.4815%,Rise by 6.53%,9.1437%
Buy,2023-05-26,30.2300,2023-06-30,30.7300,25 days,1.65%,1.6540%,Rise by 0.79%,10.7976%
Buy,2023-09-28,29.7600,2023-10-27,28.5500,21 days,-4.07%,-4.0659%,Rise by 0.87%,6.7318%
Buy,2024-06-18,32.6100,2024-06-27,33.1400,7 days,1.63%,1.6253%,Rise by 6.5%,8.3571%
Buy,2024-12-20,37.2600,2025-01-02,37.7000,9 days,1.18%,1.1809%,Rise by 5.82%,9.5379%
Buy,2025-03-12,37.0200,2025-03-19,37.9800,5 days,2.59%,2.5932%,Rise by 3.89%,12.1311%
