Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1995-06-30,0.55,1995-12-31,1.0,130 days,1993-06-30/0.5117,81.55%,81.55%,Rise by 151.76%,81.55%,
Buy,1997-09-30,1.39,1998-06-30,1.0,195 days,1995-12-31/1.0,-27.74%,-27.74%,Rise by -27.74%,53.81%,
Buy,1999-03-31,1.42,2000-09-30,3.43,392 days,1997-09-30/1.3867,141.06%,141.06%,Rise by 141.06%,194.88%,
Buy,2001-06-30,3.64,2003-06-30,6.94,520 days,2000-09-30/3.4277,90.92%,90.92%,Rise by 23.7%,285.80%,
Buy,2003-09-30,7.0,2005-09-30,12.19,523 days,2003-06-30/6.9437,74.02%,74.02%,Rise by 33.4%,359.82%,
Buy,2005-12-31,13.14,2007-12-31,23.0,520 days,2005-09-30/12.19,75.04%,75.04%,Rise by 96.04%,434.86%,
Buy,2008-03-31,25.76,2010-06-30,17.14,587 days,2007-12-31/23.005,-33.48%,-33.48%,Rise by -10.11%,401.39%,
Buy,2012-03-31,24.43,2013-03-31,48.94,259 days,2010-03-31/22.735,100.33%,100.33%,Rise by 239.38%,501.71%,
Buy,2013-06-30,51.27,2014-06-30,82.91,260 days,2013-03-31/48.94,61.71%,61.71%,Rise by 107.63%,563.43%,
Buy,2014-09-30,106.45,2016-06-30,83.42,457 days,2014-06-30/82.91,-21.63%,-21.63%,Rise by 9.99%,541.79%,
Buy,2022-12-31,85.85,2024-06-30,68.61,389 days,2021-12-31/72.61,-20.08%,-20.08%,Rise by -12.71%,521.71%,
Buy,2024-12-31,92.37,2024-12-31,92.37,0 days,2022-12-31/85.85,0.00%,0.00%,Rise by 0%,521.71%,
