Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-03-25,1.37,2022-08-05,1.22,355 days,-11.180000%,-11.180000%,Rise by 2.230000%,-11.180000%
Buy,2022-08-23,1.18,2023-02-02,1.24,116 days,5.290000%,5.290000%,Rise by -2.690000%,-5.890000%
Buy,2023-02-07,1.2,2023-04-17,1.24,48 days,3.100000%,3.100000%,Rise by 4.140000%,-2.790000%
Buy,2023-05-26,1.23,2023-06-28,1.27,22 days,3.470000%,3.470000%,Rise by 4.160000%,0.680000%
Buy,2023-08-25,1.26,2024-03-19,1.27,146 days,1.060000%,1.060000%,Rise by -2.200000%,1.740000%
Buy,2024-04-15,1.25,2024-06-10,1.27,39 days,2.140000%,2.140000%,Rise by 0.790000%,3.880000%
Buy,2024-06-18,1.27,2024-07-26,1.29,27 days,1.110000%,1.110000%,Rise by 2.290000%,4.990000%
Buy,2024-08-06,1.28,2024-09-10,1.31,24 days,2.210000%,2.210000%,Rise by 3.670000%,7.200000%
Buy,2024-11-13,1.27,2025-03-27,1.29,95 days,1.090000%,1.090000%,Rise by 0.320000%,8.290000%
Buy,2025-04-09,1.28,2025-05-09,1.32,21 days,3.470000%,3.470000%,Rise by 5.040000%,11.760000%
Buy,2025-07-31,1.33,2025-09-19,1.36,35 days,2.250000%,2.250000%,Rise by 2.470000%,14.010000%
Buy,2025-10-30,1.32,2025-10-30,1.32,0 days,0.00%,0.00%,Rise by 0%,14.010000%
