Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-12-31,103.12,2022-12-31,132.92,Sell,521 days,Fall by -49.280000%,-28.89
2023-12-31,141.43,2023-12-31,141.43,Buy,0 days,Rise by 8.850000%,0.0
