Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1981-12-31,0.22,1982-09-30,0.36,195 days,1981-11-30/0.2168,64.61%,64.61%,Rise by 84.5%,64.61%
Buy,1982-10-31,0.37,1983-02-28,0.28,85 days,1982-09-30/0.3633,-23.94%,-23.94%,Rise by -28.73%,40.67%
Buy,1985-05-31,0.17,1986-03-31,0.28,216 days,1984-08-31/0.1602,62.95%,62.95%,Rise by 62.95%,103.62%
Buy,1986-06-30,0.3,1986-07-31,0.22,23 days,1986-03-31/0.2832,-28.19%,-28.19%,Rise by -28.19%,75.43%
Buy,1987-07-31,0.33,1987-10-31,0.26,65 days,1987-03-31/0.2832,-21.65%,-21.65%,Rise by -16.98%,53.78%
Buy,1988-04-30,0.39,1989-06-30,0.64,304 days,1987-09-30/0.373,62.18%,62.18%,Rise by 27.36%,115.96%
Buy,1989-07-31,0.72,1990-05-31,1.23,218 days,1989-06-30/0.6367,69.28%,69.28%,Rise by 85.45%,185.24%
Buy,1990-07-31,1.34,1990-08-31,1.02,23 days,1990-05-31/1.2266,-23.84%,-23.84%,Rise by 11.62%,161.39%
Buy,1991-01-31,1.49,1991-06-30,1.13,106 days,1990-07-31/1.3438,-24.35%,-24.35%,Rise by -24.35%,137.05%
Buy,1991-08-31,1.56,1992-11-30,2.7,325 days,1991-02-28/1.5,72.93%,72.93%,Rise by 47.62%,209.98%
Buy,1994-06-30,1.87,1995-09-30,3.47,326 days,1994-05-31/1.8438,85.98%,85.98%,Rise by 24.89%,295.96%
Buy,1995-10-31,3.54,1996-05-31,6.27,153 days,1995-09-30/3.4727,77.26%,77.26%,Rise by 115.01%,373.22%
Buy,1996-06-30,6.42,1997-12-31,4.88,392 days,1996-05-31/6.2734,-23.97%,-23.97%,Rise by 39.9%,349.26%
Buy,1999-02-28,6.68,2000-02-29,3.55,261 days,1998-06-30/6.0859,-46.78%,-46.78%,Rise by -12.51%,302.47%
Buy,2000-12-31,6.98,2001-02-28,4.88,42 days,1999-12-31/6.1953,-30.07%,-30.07%,Rise by -26.36%,272.40%
Buy,2001-12-31,7.03,2002-08-31,5.4,174 days,2000-12-31/6.9766,-23.22%,-23.22%,Rise by -12.36%,249.18%
Buy,2003-05-31,7.0,2004-12-31,11.34,414 days,2002-05-31/6.7188,61.97%,61.97%,Rise by 39.08%,311.16%
Buy,2006-09-30,10.95,2010-03-31,18.38,912 days,2005-12-31/10.8488,67.77%,67.77%,Rise by 33.05%,378.93%
Buy,2010-04-30,18.98,2013-04-30,31.8,782 days,2010-03-31/18.375,67.57%,67.57%,Rise by 13.46%,446.49%
Buy,2013-06-30,31.84,2015-06-30,54.01,521 days,2013-04-30/31.8,69.63%,69.63%,Rise by 24.28%,516.12%
Buy,2015-07-31,57.61,2019-09-30,93.92,1086 days,2015-06-30/54.01,63.03%,63.03%,Rise by -12.9%,579.15%
Buy,2019-12-31,101.31,2021-07-31,167.51,413 days,2019-09-30/93.92,65.34%,65.34%,Rise by 39.64%,644.49%
Buy,2021-11-30,169.24,2022-03-31,134.56,87 days,2021-07-31/167.51,-20.49%,-20.49%,Rise by -26.32%,624.00%
