Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1928-12-31,24.35,1930-09-30,18.59,456 days,1928-11-30/24.28,-23.66%,-23.66%,Rise by 30.23%,-23.66%,
Buy,1933-05-31,9.64,1936-07-31,15.85,827 days,1932-08-31/8.39,64.42%,64.42%,Rise by 15.87%,40.76%,
Buy,1936-08-31,15.99,1937-10-31,12.35,304 days,1936-07-31/15.85,-22.76%,-22.76%,Rise by 12.95%,18.00%,
Buy,1938-10-31,13.17,1940-05-31,9.27,414 days,1937-10-31/12.35,-29.61%,-29.61%,Rise by -16.63%,-11.61%,
Buy,1942-12-31,9.77,1945-09-30,16.05,716 days,1942-10-31/9.36,64.28%,64.28%,Rise by 26.41%,52.67%,
Buy,1945-10-31,16.65,1954-03-31,26.94,2195 days,1945-09-30/16.05,61.80%,61.80%,Rise by 15.2%,114.47%,
Buy,1954-04-30,28.26,1955-11-30,45.51,413 days,1954-03-31/26.94,61.04%,61.04%,Rise by 61.04%,175.51%,
Buy,1956-03-31,48.48,1964-02-29,77.8,2064 days,1955-11-30/45.51,60.48%,60.48%,Rise by -10.77%,235.99%,
Buy,1964-03-31,78.98,1980-10-31,127.47,4328 days,1964-02-29/77.8,61.40%,61.40%,Rise by 7.44%,297.38%,
Buy,1980-11-30,140.52,1982-03-31,111.96,347 days,1980-10-31/127.47,-20.32%,-20.32%,Rise by -12.62%,277.06%,
Buy,1982-10-31,133.72,1986-02-28,226.92,869 days,1981-11-30/126.35,69.70%,69.70%,Rise by 25.37%,346.75%,
Buy,1986-03-31,238.9,1991-05-31,389.83,1349 days,1986-02-28/226.92,63.18%,63.18%,Rise by 5.87%,409.93%,
Buy,1991-08-31,395.43,1996-01-31,636.02,1152 days,1991-05-31/389.83,60.84%,60.84%,Rise by 7.28%,470.77%,
Buy,1996-02-29,640.43,1998-02-28,1049.34,521 days,1996-01-31/636.02,63.85%,63.85%,Rise by 49.01%,534.62%,
Buy,1998-03-31,1101.75,2002-09-30,815.28,1174 days,1998-02-28/1049.34,-26.00%,-26.00%,Rise by -13.11%,508.62%,
Buy,2003-07-31,990.31,2009-02-28,735.09,1456 days,2003-06-30/974.5,-25.77%,-25.77%,Rise by 15.61%,482.85%,
Buy,2009-11-30,1095.63,2013-10-31,1756.54,1023 days,2009-09-30/1057.08,60.32%,60.32%,Rise by 8.31%,543.17%,
Buy,2013-11-30,1805.81,2018-08-31,2901.52,1239 days,2013-10-31/1756.54,60.68%,60.68%,Rise by 14.49%,603.85%,
Buy,2018-09-30,2913.98,2021-12-31,4766.18,849 days,2018-08-31/2901.52,63.56%,63.56%,Rise by 1.09%,667.41%,
Buy,2023-04-30,4169.48,2025-09-30,6688.46,631 days,2022-05-31/4132.1499,60.41%,60.41%,Rise by 44.87%,727.83%,
Buy,2025-10-31,6840.2,2025-10-31,6840.2,0 days,2025-09-30/6688.46,0.00%,0.00%,Rise by 0%,727.83%,
