Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1936-12-31,17.18,1937-12-31,10.55,261 days,1935-12-31/13.43,-38.59%,-38.59%,Rise by -27.47%,-38.59%,
Buy,1944-12-31,13.28,1951-12-31,23.77,1825 days,1939-12-31/12.46,78.99%,78.99%,Rise by 86.82%,40.40%,
Buy,1952-12-31,26.57,1955-12-31,45.48,782 days,1928-12-31/24.35,71.17%,71.17%,Rise by 169.29%,111.57%,
Buy,1956-12-31,46.67,1963-12-31,75.02,1826 days,1955-12-31/45.48,60.75%,60.75%,Rise by 98.05%,172.32%,
Buy,1964-12-31,84.75,1980-12-31,135.76,4174 days,1963-12-31/75.02,60.19%,60.19%,Rise by 22.55%,232.50%,
Buy,1982-12-31,140.64,1986-12-31,242.17,1043 days,1980-12-31/135.76,72.19%,72.19%,Rise by 196.57%,304.70%,
Buy,1987-12-31,247.08,1991-12-31,417.09,1043 days,1986-12-31/242.17,68.81%,68.81%,Rise by 199.8%,373.50%,
Buy,1992-12-31,435.71,1996-12-31,740.74,1043 days,1991-12-31/417.09,70.01%,70.01%,Rise by 163.5%,443.51%,
Buy,1997-12-31,970.43,2013-12-31,1848.36,4174 days,1996-12-31/740.74,90.47%,90.47%,Rise by 46.15%,533.98%,
Buy,2014-12-31,2058.9,2020-12-31,3756.07,1566 days,2013-12-31/1848.36,82.43%,82.43%,Rise by 131.67%,616.41%,
Buy,2021-12-31,4766.18,2021-12-31,4766.18,0 days,2020-12-31/3756.0701,0.00%,0.00%,Rise by 0%,616.41%,
