Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2022-03-30,14.56,2022-03-31,13.51,2022-02-24-2022-03-29,9.93-16.49,Sell,1 days,7.21%,Fall by 15.77%,7.21%,
2022-04-13,11.89,2024-03-19,17.24,2022-02-24-2022-03-29,9.93-16.49,Buy,504 days,45.0%,Rise by 37.47%,52.21%,
2022-07-05,8.4,2022-07-20,9.41,2022-03-29-2022-05-12,8.83-13.15,Sell,11 days,-12.02%,Fall by 3.93%,40.18%,
2022-08-23,9.18,2022-08-24,9.32,2022-03-29-2022-06-16,7.14-13.15,Sell,1 days,-1.53%,Fall by 0.86%,38.66%,
2022-09-16,10.25,2022-09-20,9.94,2022-06-16-2022-09-15,6.81-11.625,Sell,2 days,3.02%,Fall by 1.11%,41.68%,
2022-09-27,9.61,2022-11-10,9.27,2022-06-16-2022-09-15,6.81-11.625,Buy,32 days,-3.54%,Rise by 7.77%,38.14%,
2022-11-09,8.4,2022-11-10,9.27,2022-06-16-2022-11-03,6.81-12.76,Sell,1 days,-10.36%,Fall by 11.54%,27.79%,
2022-12-12,9.58,2022-12-14,9.09,2022-09-15-2022-11-09,9.635-10.65,Sell,2 days,5.11%,Fall by 11.44%,32.9%,
2023-02-09,10.08,2023-02-09,10.08,2022-09-15-2022-12-28,7.81-10.65,Sell,0 days,-0.0%,Fall by 0%,32.9%,
2023-02-28,10.07,2024-04-03,19.21,2022-12-28-2023-02-02,7.565-11.52,Buy,286 days,90.76%,Rise by -11.09%,123.67%,
2023-03-20,8.8,2023-03-28,8.67,2022-12-28-2023-02-02,7.565-11.52,Sell,6 days,1.48%,Fall by 3.69%,125.14%,
2023-04-19,9.82,2023-04-24,9.4,2023-02-02-2023-03-24,8.735-10.97,Sell,3 days,4.28%,Fall by 11.17%,129.42%,
2023-06-26,9.63,2023-07-03,10.66,2023-04-12-2023-05-04,8.6-9.66,Sell,5 days,-10.7%,Fall by 5.53%,118.73%,
2023-07-31,12.86,2024-11-04,24.32,2023-05-04-2023-07-19,8.21-13.23,Buy,330 days,89.11%,Rise by 77.63%,207.84%,
2023-08-04,11.28,2023-08-07,11.34,2022-06-16-2023-07-19,6.81-13.23,Sell,1 days,-0.53%,Fall by 13.32%,207.31%,
2023-08-07,11.34,2023-08-07,11.34,2022-06-16-2023-07-19,6.81-13.23,Buy,0 days,0.0%,Rise by 0%,207.31%,
2023-08-09,10.8,2023-08-15,10.41,2022-12-28-2023-07-19,7.565-13.23,Sell,4 days,3.61%,Fall by 8.45%,210.92%,
2023-08-15,10.41,2023-08-17,10.07,2023-05-04-2023-07-19,8.21-13.23,Sell,2 days,3.27%,Fall by 5.36%,214.18%,
2023-10-17,9.6,2023-10-18,9.21,2023-07-19-2023-08-18,10.3-12.667,Sell,1 days,4.06%,Fall by 13.9%,218.25%,
2024-01-04,11.98,2024-01-04,11.98,2023-02-02-2023-11-16,8.29-10.97,Sell,0 days,-0.0%,Fall by 0%,218.25%,
2024-01-10,12.14,2024-01-11,11.71,2023-11-16-2023-12-27,7.91-13.51,Sell,1 days,3.54%,Fall by 9.82%,221.79%,
2024-01-17,10.65,2024-01-23,10.95,2022-06-16-2023-12-27,6.81-13.51,Sell,4 days,-2.82%,Fall by -52.05%,218.97%,
2024-01-23,10.95,2024-11-04,24.32,2023-05-04-2023-12-27,8.21-13.51,Buy,204 days,122.1%,Rise by 77.63%,341.07%,
2024-02-07,11.0,2024-12-12,39.33,2023-11-16-2023-12-27,7.91-13.51,Buy,221 days,257.55%,Rise by 65.98%,598.62%,
2024-04-04,18.45,2024-04-09,18.3,2023-12-27-2024-01-19,10.75-12.91,Sell,3 days,0.81%,Fall by 11.31%,599.43%,
2024-04-09,18.3,2024-05-28,20.47,2023-11-16-2024-03-27,7.91-20.55,Buy,35 days,11.86%,Rise by 15.78%,611.29%,
2024-04-12,17.97,2024-05-24,20.51,2022-06-16-2024-03-27,6.81-20.55,Buy,30 days,14.13%,Rise by 15.55%,625.42%,
2024-04-15,17.19,2024-04-19,16.63,2023-11-16-2024-03-27,7.91-20.55,Sell,4 days,3.26%,Fall by 2.41%,628.68%,
2024-04-17,17.08,2024-04-30,16.49,2022-06-16-2024-03-27,6.81-20.55,Sell,9 days,3.45%,Fall by -29.59%,632.14%,
2024-06-20,21.73,2024-07-15,23.94,2024-03-27-2024-05-10,17.69-19.62,Sell,17 days,-10.17%,Fall by 11.53%,621.97%,
2024-07-29,21.18,2024-12-12,39.33,2023-11-16-2024-07-17,7.91-24.88,Buy,98 days,85.69%,Rise by 65.98%,707.66%,
2024-07-30,20.4,2024-08-02,17.88,2023-11-16-2024-07-17,7.91-24.88,Sell,3 days,12.35%,Fall by -5.93%,720.01%,
2024-08-01,20.24,2024-08-02,17.88,2022-12-28-2024-07-17,7.565-24.88,Sell,1 days,11.66%,Fall by -5.93%,731.67%,
2024-08-14,18.65,2024-08-23,21.12,2024-05-10-2024-07-17,16.22-24.88,Sell,7 days,-13.24%,Fall by -5.73%,718.43%,
2024-09-04,19.11,2024-09-04,19.11,2024-03-27-2024-08-05,16.725-19.62,Sell,0 days,-0.0%,Fall by 0%,718.43%,
2024-09-10,19.7,2024-12-12,39.33,2022-02-24-2024-07-17,9.93-24.88,Buy,67 days,99.64%,Rise by 65.98%,818.07%,
2024-10-07,23.32,2024-12-12,39.33,2024-05-10-2024-07-17,16.22-24.88,Buy,48 days,68.65%,Rise by 65.98%,886.73%,
2024-12-12,39.33,2024-12-18,37.08,2021-09-23-2022-06-16,7.14-44.71,Sell,4 days,5.72%,Fall by 3.91%,892.45%,
2025-02-21,51.6,2025-02-24,49.93,2024-08-05-2025-02-13,13.98-66.91,Sell,1 days,3.24%,Fall by 28.64%,895.68%,
2025-02-24,49.93,2025-02-25,45.92,2022-06-16-2025-02-13,6.81-66.91,Sell,1 days,8.03%,Fall by 20.82%,903.72%,
2025-02-27,48.78,2025-09-16,117.38,2023-05-04-2025-02-13,8.21-66.91,Buy,143 days,140.63%,Rise by 29.89%,1044.35%,
