Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days)
FRACTAL TRACK,EWJ,Short,Daily,2025-09-24,80.85,2025-09-29,80.51,0.42053184910326435,3,90.7,43,9
FRACTAL TRACK,EWJ,Short,Daily,2025-07-31,73.62,2025-08-29,78.28,-6.329801684324907,21,90.7,43,9
FRACTAL TRACK,EWJ,Long,Daily,2025-05-16,72.49,2025-06-09,73.93,1.986480893916419,16,100.0,20,254
FRACTAL TRACK,EWJ,Short,Daily,2025-04-04,61.51,2025-04-09,66.34,-7.852381726548538,3,90.7,43,9
FRACTAL TRACK,EWJ,Short,Daily,2025-04-03,65.41,2025-04-04,61.51,5.962391071701573,1,90.7,43,9
FRACTAL TRACK,EWJ,Long,Daily,2024-12-24,66.45,2025-05-30,74.12,11.542513167795338,113,100.0,20,254
FRACTAL TRACK,EWJ,Long,Daily,2024-10-25,67.24,2025-07-29,73.88,9.875074360499703,197,100.0,20,254
FRACTAL TRACK,EWJ,Long,Daily,2024-10-17,69.76,2025-06-05,73.39,5.2035550458715525,165,100.0,20,254
FRACTAL TRACK,EWJ,Long,Daily,2024-07-29,68.85,2025-05-30,74.12,7.654320987654336,219,100.0,20,254
FRACTAL TRACK,EWJ,Long,Daily,2024-04-23,67.32,2025-07-02,74.46,10.606060606060607,311,100.0,20,254
