Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2004-02-08,48.55,2004-08-08,40.26,Buy,129 Days,29.09,Rise by -1.75%,-17.08%,-17.08%,
2004-03-28,45.85,2004-05-02,43.53,Sell,24 Days,-11.11,Fall by 5.06%,5.06%,-12.02%,
2004-05-16,44.35,2004-07-18,41.99,Sell,44 Days,-10.53,Fall by 12.47%,5.32%,-6.69%,
2005-03-27,43.57,2005-04-17,40.61,Sell,14 Days,-18.71,Fall by -1.61%,6.79%,0.1%,
2005-05-29,45.16,2007-01-14,54.61,Buy,424 Days,20.72,Rise by 4.65%,20.93%,21.03%,
2005-08-21,46.42,2005-11-27,49.85,Sell,69 Days,-11.11,Fall by 2.74%,-7.39%,13.64%,
2006-01-08,51.19,2006-01-22,49.42,Sell,9 Days,-10.87,Fall by 7.56%,3.46%,17.09%,
2006-04-23,51.19,2006-05-14,48.41,Sell,14 Days,-7.1,Fall by 11.43%,5.43%,22.52%,
2008-03-30,50.72,2008-10-05,42.95,Buy,134 Days,8.0,Rise by 14.35%,-15.32%,7.21%,
2009-03-22,33.55,2009-05-31,40.82,Buy,49 Days,6.79,Rise by 19.37%,21.67%,28.87%,
2011-03-20,61.33,2011-05-01,66.19,Sell,29 Days,-11.63,Fall by 2.59%,-7.92%,20.95%,
2012-04-15,72.58,2012-05-13,69.36,Sell,19 Days,-13.42,Fall by 10.58%,4.44%,25.39%,
2013-05-12,75.44,2014-02-16,90.82,Buy,199 Days,13.36,Rise by 3.0%,20.39%,45.77%,
2013-08-25,79.32,2013-11-10,84.46,Sell,54 Days,-13.9,Fall by -10.24%,-6.48%,39.29%,
2015-08-02,108.64,2015-08-23,100.46,Sell,14 Days,-19.6,Fall by 7.93%,7.53%,46.82%,
2016-01-17,98.1,2016-03-06,104.63,Sell,34 Days,-27.63,Fall by -6.3%,-6.66%,40.17%,
2016-11-20,120.39,2017-05-28,144.96,Buy,134 Days,20.08,Rise by 12.79%,20.41%,60.58%,
2018-04-15,173.22,2018-06-03,186.32,Sell,34 Days,-16.67,Fall by -4.72%,-7.56%,53.01%,
2021-01-24,363.79,2021-11-07,448.09,Buy,204 Days,8.07,Rise by 6.24%,23.17%,76.19%,
2021-10-03,406.86,2021-10-31,434.16,Sell,19 Days,-12.57,Fall by 1.09%,-6.71%,69.48%,
2023-06-11,422.18,2024-02-11,521.44,Buy,174 Days,20.25,Rise by 7.2%,23.51%,92.99%,
2025-01-19,627.47,2025-03-02,598.48,Sell,29 Days,-15.14,Fall by 10.27%,4.62%,97.61%,
2025-07-06,674.02,2025-07-06,674.02,Buy,0 Days,11.9,Rise by 0%,0.0%,97.61%,
