Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-04-28,45.5700,2022-05-12,39.3900,10 days,-13.56%,-13.5616%,Rise by -13.56%,-13.5616%,
Buy,2022-05-16,39.8100,2022-05-19,41.4400,3 days,4.09%,4.0944%,Rise by 9.04%,-9.4671%,
Buy,2022-07-07,35.3000,2022-08-19,31.9500,31 days,-9.49%,-9.4901%,Rise by -2.83%,-18.9572%,
Buy,2023-02-27,41.1700,2023-03-03,41.8900,4 days,1.75%,1.7488%,Rise by 26.86%,-17.2083%,
Buy,2023-05-22,47.7900,2023-06-20,42.9900,21 days,-10.04%,-10.0439%,Rise by -10.04%,-27.2523%,
Buy,2023-06-23,42.6000,2023-07-03,43.9600,6 days,3.19%,3.1925%,Rise by 7.09%,-24.0598%,
Buy,2024-02-15,44.3300,2024-02-26,39.1900,7 days,-11.59%,-11.5949%,Rise by 2.84%,-35.6547%,
Buy,2024-02-27,39.5000,2024-02-29,41.1900,2 days,4.28%,4.2785%,Rise by 15.42%,-31.3762%,
Buy,2024-08-08,54.3700,2024-08-12,57.1700,2 days,5.15%,5.1499%,Rise by 14.82%,-26.2263%,
Buy,2024-11-14,59.3300,2024-11-19,62.5900,3 days,5.49%,5.4947%,Rise by 7.96%,-20.7316%,
Buy,2024-12-20,57.1100,2025-01-21,59.4600,22 days,4.11%,4.1149%,Rise by 49.08%,-16.6167%,
Buy,2025-10-24,98.15,2025-10-24,98.15,0 days,0.00%,0.00%,Rise by 0%,-16.62%,
