Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1967-07-31,0.53,1968-04-30,0.85,196 days,1967-06-30/0.4506,61.65%,61.65%,Rise by 35.04%,61.65%,
Buy,1969-05-31,0.56,1969-06-30,0.25,20 days,1969-04-30/0.5329,-55.23%,-55.23%,Rise by -41.47%,6.42%,
Buy,1970-12-31,0.38,1971-04-30,0.62,86 days,1970-02-28/0.3714,61.72%,61.72%,Rise by 93.27%,68.14%,
Buy,1971-05-31,0.65,1972-02-29,1.11,196 days,1971-04-30/0.6173,71.36%,71.36%,Rise by 125.01%,139.50%,
Buy,1972-03-31,1.19,1974-07-31,0.94,608 days,1972-02-29/1.1142,-21.44%,-21.44%,Rise by 57.63%,118.06%,
Buy,1975-06-30,1.41,1977-02-28,1.1,435 days,1975-04-30/1.3395,-21.49%,-21.49%,Rise by 12.28%,96.57%,
Buy,1978-05-31,1.33,1979-02-28,0.99,195 days,1977-12-31/1.2716,-25.35%,-25.35%,Rise by -11.86%,71.21%,
Buy,1980-12-31,1.2,1982-08-31,2.02,434 days,1980-06-30/1.1914,67.95%,67.95%,Rise by 38.46%,139.16%,
Buy,1982-10-31,2.23,1985-05-31,3.71,674 days,1982-08-31/2.0216,66.52%,66.52%,Rise by 15.59%,205.69%,
Buy,1985-06-30,3.81,1986-06-30,6.09,260 days,1985-05-31/3.7083,60.13%,60.13%,Rise by 60.13%,265.81%,
Buy,1987-02-28,6.35,1992-01-31,10.88,1284 days,1986-06-30/6.0938,71.15%,71.15%,Rise by 14.59%,336.96%,
Buy,1992-04-30,11.09,1995-05-31,18.94,804 days,1992-01-31/10.875,70.70%,70.70%,Rise by 10.42%,407.66%,
Buy,1995-06-30,19.56,1998-05-31,32.81,760 days,1995-05-31/18.9375,67.73%,67.73%,Rise by 28.43%,475.39%,
Buy,1998-06-30,34.5,2001-03-31,26.55,718 days,1998-05-31/32.8125,-23.04%,-23.04%,Rise by 31.34%,452.35%,
Buy,2003-09-30,23.54,2006-09-30,39.12,783 days,2003-07-31/23.01,66.19%,66.19%,Rise by 21.37%,518.54%,
Buy,2006-10-31,41.92,2010-04-30,70.59,913 days,2006-09-30/39.12,68.39%,68.39%,Rise by 21.09%,586.93%,
Buy,2010-08-31,73.06,2015-12-31,118.14,1392 days,2010-04-30/70.59,61.70%,61.70%,Rise by 37.33%,648.63%,
Buy,2016-01-31,123.78,2019-05-31,198.27,869 days,2015-12-31/118.14,60.18%,60.18%,Rise by 39.05%,708.81%,
Buy,2019-06-30,207.66,2020-03-31,165.35,196 days,2019-05-31/198.27,-20.37%,-20.37%,Rise by -20.37%,688.44%,
Buy,2020-09-30,219.49,2020-09-30,219.49,0 days,2019-08-31/217.97,0.00%,0.00%,Rise by 0%,688.44%,
