Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2022-03-01,37.47,2022-11-29,40.145,Buy,195 Days,-9.3,Rise by 4.2%,7.14%,7.14%
2022-10-03,34.085,2022-11-29,40.145,Buy,41 Days,-4.27,Rise by 9.14%,17.78%,24.92%
2024-08-01,51.38,2024-09-06,51.12,Buy,26 Days,-3.03,Rise by 3.17%,-0.51%,24.41%
2025-04-01,57.91,2025-05-23,58.9,Buy,38 Days,-3.18,Rise by -10.24%,1.71%,26.12%
2025-04-11,52.13,2025-07-15,59.31,Buy,67 Days,-3.03,Rise by 8.38%,13.77%,39.89%
