Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-03-09,40.8100,2022-03-24,43.1700,11 days,5.78%,5.7829%,Rise by 7.5%,5.7829%,
Buy,2022-05-10,40.9100,2022-05-13,42.3600,3 days,3.54%,3.5444%,Rise by 10.19%,9.3273%,
Buy,2022-07-11,40.1700,2022-07-19,42.1800,6 days,5.00%,5.0037%,Rise by 3.01%,14.3310%,
Buy,2022-08-03,39.5900,2022-08-15,40.7700,8 days,2.98%,2.9806%,Rise by 3.59%,17.3115%,
Buy,2022-09-28,36.6700,2022-10-24,38.2300,18 days,4.25%,4.2542%,Rise by 8.56%,21.5657%,
Buy,2023-01-17,38.5300,2023-03-15,36.3200,41 days,-5.74%,-5.7358%,Rise by 0.34%,15.8299%,
Buy,2023-10-04,30.0700,2023-10-09,30.7400,3 days,2.23%,2.2281%,Rise by 7.78%,18.0580%,
Buy,2023-12-11,28.9300,2023-12-14,29.9700,3 days,3.59%,3.5949%,Rise by 5.67%,21.6529%,
Buy,2024-10-04,35.2900,2024-11-15,36.3900,30 days,3.12%,3.1170%,Rise by 7.51%,24.7700%,
Buy,2025-09-26,53.0000,2025-10-21,50.3900,17 days,-4.92%,-4.9245%,Rise by -3.42%,19.8454%,
